"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SI","2022-10-05","95.2","-2.09","5.91","Thompson, Mason",596129,666168,"strikeout","swinging_strike",,,,,11,"Daniel Vogelbach strikes out swinging.","R","L","R","NYM","WSH","S",2,,1,2,2022,"-1.44","0.91","-1.35","3.22",,,,2,4,"Bot",,,,,672832,,,5.188360976394513,-138.25939367357827,-3.3017803944925044,-19.593306416631915,38.72189493655829,-20.01707519990478,"3.11","1.47",,,,"94.1",2264,"6.3",662488,666168,672832,608841,671277,514917,545121,641943,669743,657041,"54.18",,,"0",1,0,0,,35,4,"Sinker",9,0,9,0,0,9,9,0,"Infield shift","Standard",220,"-0.001","-0.07"
"SL","2022-10-05","83.5","-2.5","5.69","Thompson, Mason",596129,666168,,"ball",,,,,11,"Daniel Vogelbach strikes out swinging.","R","L","R","NYM","WSH","B",,,0,2,2022,"0.67","-0.27","-1.24","3.06",,,,2,4,"Bot",,,,,672832,,,1.5732188221205576,-121.64650470925645,0.9565787889279787,6.3292048343007945,25.581816776822528,-35.274425630822925,"3.24","1.57",,,,"83.6",2267,"6.5",662488,666168,672832,608841,671277,514917,545121,641943,669743,657041,"54.03",,,,,,,,35,3,"Slider",9,0,9,0,0,9,9,0,"Infield shift","Standard",86,"0","0.011"
"SL","2022-10-05","84.7","-2.61","5.81","Thompson, Mason",596129,666168,,"called_strike",,,,,8,"Daniel Vogelbach strikes out swinging.","R","L","R","NYM","WSH","S",,,0,1,2022,"0.43","0.04","-0.16","1.68",,,,2,4,"Bot",,,,,672832,,,4.8474018881537555,-123.10353103071245,-3.2541364806591497,3.240634487769691,28.5142386273851,-31.251178412830306,"3.17","1.49",,,,"84.1",2251,"6.3",662488,666168,672832,608841,671277,514917,545121,641943,669743,657041,"54.18",,,,,,,,35,2,"Slider",9,0,9,0,0,9,9,0,"Infield shift","Standard",86,"0","-0.023"
"SI","2022-10-05","95.5","-2.13","5.97","Thompson, Mason",596129,666168,,"called_strike",,,,,3,"Daniel Vogelbach strikes out swinging.","R","L","R","NYM","WSH","S",,,0,0,2022,"-1.47","1.25","0.37","3.14",,,,2,4,"Bot",,,,,672832,,,9.914679288506537,-138.45959564074218,-4.51417148444372,-21.32000960249355,37.5304911689057,-15.27292499158006,"3.22","1.63",,,,"94.8",2232,"6.6",662488,666168,672832,608841,671277,514917,545121,641943,669743,657041,"53.91",,,,,,,,35,1,"Sinker",9,0,9,0,0,9,9,0,"Infield shift","Standard",223,"0","-0.017"
"SL","2022-10-05","84.9","-2.56","5.73","Thompson, Mason",596019,666168,"field_out","hit_into_play",,,,,13,"Francisco Lindor grounds out, second baseman Luis Garcia to first baseman Joey Meneses.","R","L","R","NYM","WSH","X",4,"ground_ball",2,2,2022,"0.44","-0.12","-0.64","0.92",,,,1,4,"Bot",152.78,141.52,,,672832,,,3.6213115830108182,-123.5291356683677,-4.616383844377009,3.620922125886099,27.307805891988874,-32.59447049632026,"3.31","1.5",64,"83",3,"84.7",2278,"6.4",662488,666168,672832,608841,671277,514917,545121,641943,669743,657041,"54.05",0.257,0.231,"0",1,0,0,2,34,5,"Slider",9,0,9,0,0,9,9,0,"Infield shift","Standard",105,"0","-0.134"
"SL","2022-10-05","83.4","-2.54","5.73","Thompson, Mason",596019,666168,,"swinging_strike",,,,,8,"Francisco Lindor grounds out, second baseman Luis Garcia to first baseman Joey Meneses.","R","L","R","NYM","WSH","S",,,2,1,2022,"0.28","-0.13","-0.22","1.66",,,,1,4,"Bot",,,,,672832,,,4.806111252967778,-121.33062550578046,-2.592522718796798,1.7144852539452322,26.07572395565133,-33.135403161387686,"3.31","1.5",,,,"83.3",2196,"6.5",662488,666168,672832,608841,671277,514917,545121,641943,669743,657041,"54.04",,,,,,,,34,4,"Slider",9,0,9,0,0,9,9,0,"Infield shift","Standard",99,"0","-0.046"
"SL","2022-10-05","84.7","-2.7","5.75","Thompson, Mason",596019,666168,,"ball",,,,,13,"Francisco Lindor grounds out, second baseman Luis Garcia to first baseman Joey Meneses.","R","L","R","NYM","WSH","B",,,1,1,2022,"0.5","0.15","-1.53","1.3",,,,1,4,"Bot",,,,,672832,,,1.7437496361525386,-123.31775754196745,-4.352456580711362,4.756786728658848,25.143183839328092,-29.952509687978843,"3.33","1.55",,,,"84.5",2264,"6.2",662488,666168,672832,608841,671277,514917,545121,641943,669743,657041,"54.34",,,,,,,,34,3,"Slider",9,0,9,0,0,9,9,0,"Infield shift","Standard",91,"0","0.033"
"SI","2022-10-05","95.3","-2.2","5.81","Thompson, Mason",596019,666168,,"foul",,,,,7,"Francisco Lindor grounds out, second baseman Luis Garcia to first baseman Joey Meneses.","R","L","R","NYM","WSH","S",,,1,0,2022,"-1.39","1.08","-0.33","1.66",,,,1,4,"Bot",,,,,672832,,,8.109380314139253,-138.4512969946017,-7.72981618566384,-19.750538733004582,31.011588033952577,-16.70578045464464,"3.31","1.5",205,"73.6",25,"95.8",2306,"6.7",662488,666168,672832,608841,671277,514917,545121,641943,669743,657041,"53.8",,,,,,,,34,2,"Sinker",9,0,9,0,0,9,9,0,"Infield shift","Standard",215,"0","-0.031"
"SI","2022-10-05","95.1","-2.18","5.94","Thompson, Mason",596019,666168,,"ball",,,,,12,"Francisco Lindor grounds out, second baseman Luis Garcia to first baseman Joey Meneses.","R","L","R","NYM","WSH","B",,,0,0,2022,"-1.44","1.1","0.99","2.98",,,,1,4,"Bot",,,,,672832,,,11.533478866326572,-137.90456127375353,-4.5189644301871805,-21.020482579438422,31.97900433794148,-17.255995886041763,"3.32","1.53",,,,"94.9",2327,"6.5",662488,666168,672832,608841,671277,514917,545121,641943,669743,657041,"54.04",,,,,,,,34,1,"Sinker",9,0,9,0,0,9,9,0,"Infield shift","Standard",215,"0","0.023"
"SL","2022-10-05","83.2","-2.53","5.73","Thompson, Mason",682626,666168,"strikeout","swinging_strike",,,,,3,"Francisco Alvarez strikes out swinging.","R","R","R","NYM","WSH","S",2,,3,2,2022,"0.44","-0.05","0.6","2.95",,,,0,4,"Bot",,,,,672832,,,6.318183842267942,-121.03833561211728,0.14860693027573157,3.2074623125418253,22.556205086334266,-32.86919036917275,"3.3","1.5",,,,"83.5",2179,"6.4",662488,666168,672832,608841,671277,514917,545121,641943,669743,657041,"54.07",,,"0",1,0,0,,33,7,"Slider",9,0,9,0,0,9,9,0,"Standard","Standard",69,"0","-0.299"
