"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SI","2022-06-07","95","-1.34","5.9","Kittredge, Andrew",425877,552640,"force_out","hit_into_play",,,,,13,"Yadier Molina grounds into a force out, third baseman Isaac Paredes to second baseman Vidal Brujan.   Harrison Bader out at 2nd.","R","R","R","TB","STL","X",5,"ground_ball",0,1,2022,"-1.3","1.1","-0.85","1.93",641933,,664056,2,8,"Top",98.78,166.59,,,642336,,,4.219106365566273,-138.13136565108377,-7.177669804925087,-17.532684428701714,33.927540842176406,-16.703703324599164,"3.38","1.64",13,"88.9",-8,"95.3",2357,"6.7",661894,552640,642336,596847,660644,670623,670764,668227,595281,621433,"53.76",0.154,0.151,"0",1,0,0,2,58,2,"Sinker",1,1,1,1,1,1,1,1,"Standard","Standard",208,"0.106","-0.413"
"SI","2022-06-07","95.1","-1.37","5.88","Kittredge, Andrew",425877,552640,,"foul",,,,,2,"Yadier Molina grounds into a force out, third baseman Isaac Paredes to second baseman Vidal Brujan.   Harrison Bader out at 2nd.","R","R","R","TB","STL","S",,,0,0,2022,"-1.28","0.88","0.19","2.93",641933,,664056,2,8,"Top",,,,,642336,,,7.0173762208531985,-138.18538074598143,-3.9877632614040364,-18.023629139771188,35.740368664883285,-20.25952262399065,"3.38","1.64",233,"86.5",17,"95.2",2373,"6.8",661894,552640,642336,596847,660644,670623,670764,668227,595281,621433,"53.71",,,,,,,,58,1,"Sinker",1,1,1,1,1,1,1,1,"Infield shift","Standard",206,"0","-0.078"
"FF","2022-06-07","93.7","-1.14","5.87","Kittredge, Andrew",664056,552640,"single","hit_into_play",,,,,12,"Harrison Bader singles on a line drive to right fielder Brett Phillips.   Lars Nootbaar scores.    Tyler O\'Neill to 3rd.","R","R","R","TB","STL","X",9,"line_drive",1,1,2022,"0.19","1.23","0.87","2.37",,663457,641933,2,8,"Top",148.1,112.79,,,642336,,,4.835313768616466,-136.30219298262475,-6.081018988036382,1.286840383021819,29.934881443690095,-15.653267565101997,"3.13","1.51",223,"70.8",25,"94.7",2639,"6.9",661894,552640,642336,596847,660644,670623,670764,668227,595281,621433,"53.62",0.931,0.883,"0.9",1,1,0,4,57,3,"4-Seam Fastball",1,0,0,1,1,1,1,1,"Infield shift","Standard",190,"-0.267","0.881"
"SL","2022-06-07","88.9","-1.28","5.88","Kittredge, Andrew",664056,552640,,"blocked_ball",,,,,14,"Harrison Bader singles on a line drive to right fielder Brett Phillips.   Lars Nootbaar scores.    Tyler O\'Neill to 3rd.","R","R","R","TB","STL","B",,,0,1,2022,"0.73","0.19","2.07","0.44",,663457,641933,2,8,"Top",,,,,642336,,,6.708128482162515,-129.06744262604408,-7.690505389469153,6.6577764478169055,28.658513579867066,-28.523034118564496,"3.13","1.45",,,,"89.2",2723,"6.7",661894,552640,642336,596847,660644,670623,670764,668227,595281,621433,"53.77",,,,,,,,57,2,"Slider",1,0,0,1,0,1,0,1,"Infield shift","Standard",76,"0","0.037"
"SL","2022-06-07","88.2","-1.07","5.99","Kittredge, Andrew",664056,552640,,"called_strike",,,,,3,"Harrison Bader singles on a line drive to right fielder Brett Phillips.   Lars Nootbaar scores.    Tyler O\'Neill to 3rd.","R","R","R","TB","STL","S",,,0,0,2022,"0.72","0.1","0.53","3.08",,663457,641933,2,8,"Top",,,,,642336,,,2.3967711541918244,-128.46311335570297,-1.1586008371681087,7.429172434488175,28.05389211172681,-31.094057091778257,"3.03","1.3",,,,"88.6",2563,"6.6",661894,552640,642336,596847,660644,670623,670764,668227,595281,621433,"53.91",,,,,,,,57,1,"Slider",1,0,0,1,0,1,0,1,"Infield shift","Standard",89,"0","-0.061"
"SI","2022-06-07","94.1","-1.2","5.91","Kittredge, Andrew",641933,552640,"single","hit_into_play",,,,,2,"Tyler O\'Neill singles on a sharp line drive to center fielder Kevin Kiermaier.   Lars Nootbaar to 2nd.","R","R","R","TB","STL","X",8,"line_drive",2,1,2022,"-1.32","0.86","-0.03","2.88",,,663457,2,8,"Top",123.3,73.94,,,642336,,,6.040670434935613,-136.8431032344987,-4.023477442823585,-17.937526667464745,33.80579405425465,-20.747121711339293,"3.31","1.61",209,"100.2",15,"94.6",2297,"6.9",661894,552640,642336,596847,660644,670623,670764,668227,595281,621433,"53.62",0.683,0.667,"0.9",1,1,0,4,56,4,"Sinker",1,0,0,1,0,1,0,1,"Infield shift","Standard",204,"-0.047","0.268"
"FF","2022-06-07","94.3","-1.17","5.98","Kittredge, Andrew",641933,552640,,"ball",,,,,12,"Tyler O\'Neill singles on a sharp line drive to center fielder Kevin Kiermaier.   Lars Nootbaar to 2nd.","R","R","R","TB","STL","B",,,1,1,2022,"-0.01","1.4","0.87","3.54",,,663457,2,8,"Top",,,,,642336,,,5.378010092656222,-137.1385703807623,-3.7400760527689005,-1.4421464389889926,32.430875923404635,-13.932582016784975,"3.22","1.55",,,,"94.8",2583,"6.8",661894,552640,642336,596847,660644,670623,670764,668227,595281,621433,"53.71",,,,,,,,56,3,"4-Seam Fastball",1,0,0,1,0,1,0,1,"Infield shift","Standard",199,"0","0.029"
"SL","2022-06-07","88.9","-1.28","5.93","Kittredge, Andrew",641933,552640,,"swinging_strike",,,,,14,"Tyler O\'Neill singles on a sharp line drive to center fielder Kevin Kiermaier.   Lars Nootbaar to 2nd.","R","R","R","TB","STL","S",,,1,0,2022,"0.76","0.08","1.4","1.4",,,663457,2,8,"Top",,,,,642336,,,5.012997740837826,-129.33876657967718,-5.240952885611173,7.368695554446741,28.00939229019862,-30.32213338730531,"3.31","1.61",,,,"89.3",2676,"6.6",661894,552640,642336,596847,660644,670623,670764,668227,595281,621433,"53.88",,,,,,,,56,2,"Slider",1,0,0,1,0,1,0,1,"Infield shift","Standard",94,"0","-0.041"
"SL","2022-06-07","88.5","-1.34","5.84","Kittredge, Andrew",641933,552640,,"blocked_ball",,,,,14,"Tyler O\'Neill singles on a sharp line drive to center fielder Kevin Kiermaier.   Lars Nootbaar to 2nd.","R","R","R","TB","STL","B",,,0,0,2022,"0.45","-0.04","1.39","0.3",,,663457,2,8,"Top",,,,,642336,,,5.7758865886288016,-128.62930932957622,-7.392271296103213,3.740613688956065,28.018319538090985,-31.23278448384998,"3.12","1.62",,,,"89.2",2698,"6.9",661894,552640,642336,596847,660644,670623,670764,668227,595281,621433,"53.6",,,,,,,,56,1,"Slider",1,0,0,1,0,1,0,1,"Infield shift","Standard",92,"0","0.032"
"SI","2022-06-07","94.9","-1.32","5.89","Kittredge, Andrew",663457,552640,"walk","ball",,,,,13,"Lars Nootbaar walks.","R","L","R","TB","STL","B",,,3,0,2022,"-1.53","0.9","-0.12","0.96",,,,2,8,"Top",,,,,642336,,,6.6033801352269625,-137.6612067742567,-9.230592189962055,-20.912519761848113,33.64276649633188,-18.73508758426775,"3.36","1.52",,,,"95",2252,"6.7",661894,552640,642336,596847,660644,670623,670764,668227,595281,621433,"53.77",,,"0.7",1,0,0,,55,4,"Sinker",1,0,0,1,0,1,0,1,"Standard","Standard",214,"-0.033","0.039"
