"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SL","2022-09-27","83.4","-3.7","4.92","Reed, Jake",502054,596082,"hit_by_pitch","hit_by_pitch",,,,,11,"Tommy Pham hit by pitch.    Rob Refsnyder scores.    Enrique Hernandez to 3rd.    Connor Wong to 2nd.","R","R","R","BOS","BAL","B",,,3,2,2022,"1.21","0.28","-1.85","3.64",608701,571771,657136,0,4,"Bot",,,,,668939,,,1.8501722648973482,-121.45922450929922,2.8647277278259526,11.704797478904997,22.759337352423028,-30.165655106106335,"3.23","1.54",,,,"82.1",2439,"5.3",663206,596082,668939,663624,596059,602104,683002,623993,656775,669720,"55.22",,,"0.7",1,0,0,,50,8,"Slider",9,8,9,8,8,10,10,8,"Standard","Standard",80,"0.06","0.859"
"SI","2022-09-27","92","-3.74","4.52","Reed, Jake",502054,596082,,"foul",,,,,4,"Tommy Pham hit by pitch.    Rob Refsnyder scores.    Enrique Hernandez to 3rd.    Connor Wong to 2nd.","R","R","R","BOS","BAL","S",,,3,2,2022,"-1.51","0.27","-0.66","2.34",608701,571771,657136,0,4,"Bot",,,,,668939,,,10.887302748116392,-133.58908541867018,-0.22745374971912602,-20.404241242486396,29.754609815721242,-29.11765384045936,"3.23","1.54",165,"66.7",56,"90.5",2163,"5.5",663206,596082,668939,663624,596059,602104,683002,623993,656775,669720,"54.95",,,,,,,,50,7,"Sinker",9,8,9,8,8,9,9,8,"Standard","Standard",257,"0","0"
"SL","2022-09-27","83.6","-3.72","4.92","Reed, Jake",502054,596082,,"ball",,,,,14,"Tommy Pham hit by pitch.    Rob Refsnyder scores.    Enrique Hernandez to 3rd.    Connor Wong to 2nd.","R","R","R","BOS","BAL","B",,,2,2,2022,"1.27","0.29","2.24","2.38",608701,571771,657136,0,4,"Bot",,,,,668939,,,11.057210347798913,-121.21758689443845,0.07136811494476158,10.154843827171936,25.562705147044312,-29.592823864710617,"3.35","1.6",,,,"82",2485,"5.6",663206,596082,668939,663624,596059,602104,683002,623993,656775,669720,"54.89",,,,,,,,50,6,"Slider",9,8,9,8,8,9,9,8,"Standard","Standard",62,"0","0.313"
"SI","2022-09-27","91.6","-3.54","4.69","Reed, Jake",502054,596082,,"foul",,,,,3,"Tommy Pham hit by pitch.    Rob Refsnyder scores.    Enrique Hernandez to 3rd.    Connor Wong to 2nd.","R","R","R","BOS","BAL","S",,,2,2,2022,"-1.56","0.05","0.38","2.9",608701,571771,657136,0,4,"Bot",,,,,668939,,,13.077477954446639,-132.76970799827137,1.273086432730679,-21.19674904939626,27.63085854606811,-32.128056833161494,"3.23","1.54",220,"76.8",24,"90.6",2256,"5.8",663206,596082,668939,663624,596059,602104,683002,623993,656775,669720,"54.66",,,,,,,,50,5,"Sinker",9,8,9,8,8,9,9,8,"Standard","Standard",251,"0","0"
"SL","2022-09-27","83.9","-3.47","4.96","Reed, Jake",502054,596082,,"ball",,,,,14,"Tommy Pham hit by pitch.    Rob Refsnyder scores.    Enrique Hernandez to 3rd.    Connor Wong to 2nd.","R","R","R","BOS","BAL","B",,,1,2,2022,"1.07","0.05","1.43","1.38",608701,571771,657136,0,4,"Bot",,,,,668939,,,9.088056124975,-121.88669853960705,-1.8497705969359992,8.591775970384061,26.819665542476507,-31.519850663138822,"3.23","1.52",,,,"82.4",2543,"5.6",663206,596082,668939,663624,596059,602104,683002,623993,656775,669720,"54.88",,,,,,,,50,4,"Slider",9,8,9,8,8,9,9,8,"Standard","Standard",60,"0","0.163"
"SL","2022-09-27","83.6","-3.49","5.02","Reed, Jake",502054,596082,,"ball",,,,,11,"Tommy Pham hit by pitch.    Rob Refsnyder scores.    Enrique Hernandez to 3rd.    Connor Wong to 2nd.","R","R","R","BOS","BAL","B",,,0,2,2022,"1.37","0.15","-1.2","3.08",608701,571771,657136,0,4,"Bot",,,,,668939,,,2.5444153097882993,-121.67916873844845,1.6807644962173598,13.008435408269682,25.94297161262363,-31.33433195211077,"3.3","1.54",,,,"82.3",2515,"5.6",663206,596082,668939,663624,596059,602104,683002,623993,656775,669720,"54.93",,,,,,,,50,3,"Slider",9,8,9,8,8,9,9,8,"Standard","Standard",82,"0","0.069"
"SI","2022-09-27","91.5","-3.55","4.7","Reed, Jake",502054,596082,,"called_strike",,,,,1,"Tommy Pham hit by pitch.    Rob Refsnyder scores.    Enrique Hernandez to 3rd.    Connor Wong to 2nd.","R","R","R","BOS","BAL","S",,,0,1,2022,"-1.58","0.05","-0.65","2.96",608701,571771,657136,0,4,"Bot",,,,,668939,,,10.512759622843747,-132.82799124764816,1.3571224721892134,-20.953195784884972,28.452482090121553,-32.09942575932175,"3.35","1.54",,,,"89.9",2244,"5.4",663206,596082,668939,663624,596059,602104,683002,623993,656775,669720,"55.05",,,,,,,,50,2,"Sinker",9,8,9,8,8,9,9,8,"Standard","Standard",248,"0","-0.245"
"SI","2022-09-27","92.2","-3.53","4.63","Reed, Jake",502054,596082,,"called_strike",,,,,11,"Tommy Pham hit by pitch.    Rob Refsnyder scores.    Enrique Hernandez to 3rd.    Connor Wong to 2nd.","R","R","R","BOS","BAL","S",,,0,0,2022,"-1.63","0.12","-0.91","3.17",608701,571771,657136,0,4,"Bot",,,,,668939,,,9.997122936256112,-133.84830680641304,1.8630062125674927,-21.789269198307885,29.747172980003842,-31.427859095157192,"3.33","1.52",,,,"90.5",2210,"5.4",663206,596082,668939,663624,596059,602104,683002,623993,656775,669720,"55.08",,,,,,,,50,1,"Sinker",9,8,9,8,8,9,9,8,"Standard","Standard",255,"0","-0.156"
"SI","2022-09-27","92","-3.58","4.62","Reed, Jake",657136,596082,"fielders_choice","hit_into_play",,,,,5,"Connor Wong reaches on a fielder\'s choice, fielded by second baseman Rougned Odor.   Triston Casas scores.    Rob Refsnyder to 3rd.    Enrique Hernandez to 2nd.  Fielding error by second baseman Rougned Odor.","R","R","R","BOS","BAL","X",4,"ground_ball",2,2,2022,"-1.63","0.3","-0.23","2.39",671213,608701,571771,0,4,"Bot",133.37,145,,,668939,,,11.786674467143444,-133.422364427645,-0.44145161735687655,-21.950882504517082,28.086871671731927,-28.722558641108,"3.23","1.43",28,"88.3",-3,"90.6",2171,"5.6",663206,596082,668939,663624,596059,602104,683002,623993,656775,669720,"54.94",0.2,0.185,"0.9",1,0,0,2,49,6,"Sinker",8,8,8,8,8,9,9,8,"Standard","Standard",252,"0.085","1.181"
"SL","2022-09-27","82.9","-3.59","4.97","Reed, Jake",657136,596082,,"foul",,,,,14,"Connor Wong reaches on a fielder\'s choice, fielded by second baseman Rougned Odor.   Triston Casas scores.    Rob Refsnyder to 3rd.    Enrique Hernandez to 2nd.  Fielding error by second baseman Rougned Odor.","R","R","R","BOS","BAL","S",,,2,2,2022,"1.01","0.32","1.15","2.11",671213,608701,571771,0,4,"Bot",,,,,668939,,,8.74198391358069,-120.51666756990016,-0.6616405389964031,8.027268140600865,24.123422473315212,-29.14169063099216,"3.23","1.43",226,"74.9",41,"81.6",2466,"5.5",663206,596082,668939,663624,596059,602104,683002,623993,656775,669720,"55",,,,,,,,49,5,"Slider",8,8,8,8,8,8,8,8,"Standard","Standard",57,"0","0"
