"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SI","2022-06-11","90.1","1.34","5.68","Alvarez, Jose",641355,501625,"field_out","hit_into_play",,,,,14,"Cody Bellinger grounds out, second baseman Thairo Estrada to first baseman Darin Ruf.","R","L","L","SF","LAD","X",4,"ground_ball",0,1,2022,"1.43","0.66","0.19","1.58",,669257,593643,2,9,"Top",160.33,150.13,,,592200,,,-5.897610900714081,-131.0099454425679,-5.6576702093832685,17.67137687129358,26.43953784942129,-23.60872233014815,"3.79","1.73",53,"99.2",2,"90.7",1831,"6.6",662089,501625,592200,573131,642731,527038,543063,592626,573262,670768,"53.9",0.426,0.384,"0",1,0,0,4,78,2,"Sinker",3,2,2,3,2,3,2,3,"Standard","Standard",129,"0.14","-0.384"
"CH","2022-06-11","79.7","1.37","5.54","Alvarez, Jose",641355,501625,,"foul",,,,,6,"Cody Bellinger grounds out, second baseman Thairo Estrada to first baseman Darin Ruf.","R","L","L","SF","LAD","S",,,0,0,2022,"0.93","0.29","0.71","2.53",,669257,593643,2,9,"Top",,,,,592200,,,-3.218571292343916,-116.150787880319,-0.5304095918559134,9.064942256846773,18.794357628156828,-29.604871070726087,"3.79","1.73",156,"68.8",18,"80.9",1543,"6.7",662089,501625,592200,573131,642731,527038,543063,592626,573262,670768,"53.78",,,,,,,,78,1,"Changeup",3,2,2,3,2,3,2,3,"Standard","Standard",110,"0","-0.061"
"SI","2022-06-11","88","1.32","5.61","Alvarez, Jose",593643,501625,"single","hit_into_play",,,,,12,"Hanser Alberto singles on a soft ground ball to third baseman Wilmer Flores.   Will Smith to 2nd.","R","R","L","SF","LAD","X",5,"ground_ball",1,1,2022,"1.11","0.8","0.9","2.75",,,669257,2,9,"Top",116.69,181.65,,,592200,,,-3.3286908403620474,-128.3399991515663,-2.6127696063706978,12.964517251692255,22.672534937476456,-22.921925035900735,"3.43","1.63",1,"70.6",-66,"88.9",1888,"6.4",662089,501625,592200,573131,642731,527038,543063,592626,573262,670768,"54.09",0.263,0.242,"0.9",1,1,0,2,77,3,"Sinker",3,2,2,3,2,3,2,3,"Standard","Standard",125,"-0.062","0.297"
"SI","2022-06-11","92.2","1.01","5.74","Alvarez, Jose",593643,501625,,"ball",,,,,7,"Hanser Alberto singles on a soft ground ball to third baseman Wilmer Flores.   Will Smith to 2nd.","R","R","L","SF","LAD","B",,,0,1,2022,"1.21","0.8","-0.59","1.6",,,669257,2,9,"Top",,,,,592200,,,-6.750144746271553,-134.1597754102365,-6.579723177939191,16.033023092387413,23.54239483236484,-21.39556868590178,"3.45","1.71",,,,"93.6",1919,"6.7",662089,501625,592200,573131,642731,527038,543063,592626,573262,670768,"53.81",,,,,,,,77,2,"Sinker",3,2,2,3,2,3,2,3,"Standard","Standard",135,"0","0.026"
"CH","2022-06-11","80.3","1.22","5.61","Alvarez, Jose",593643,501625,,"foul",,,,,6,"Hanser Alberto singles on a soft ground ball to third baseman Wilmer Flores.   Will Smith to 2nd.","R","R","L","SF","LAD","S",,,0,0,2022,"1.47","0.5","0.51","2.4",,,669257,2,9,"Top",,,,,592200,,,-4.373080218437749,-116.85016479676167,-1.2728643498834744,14.278187911439499,24.95387070647944,-27.623949099694013,"3.43","1.63",3,"63.9",-42,"80.1",1663,"6.4",662089,501625,592200,573131,642731,527038,543063,592626,573262,670768,"54.06",,,,,,,,77,1,"Changeup",3,2,2,3,2,3,2,3,"Standard","Standard",116,"0","-0.035"
"CH","2022-06-11","81.5","1.22","5.56","Alvarez, Jose",669257,501625,"force_out","hit_into_play",,,,,9,"Will Smith grounds into a force out, third baseman Wilmer Flores to second baseman Thairo Estrada.   Trea Turner out at 2nd.    Will Smith to 1st.","R","R","L","SF","LAD","X",5,"ground_ball",1,0,2022,"1.22","0.26","0.41","1.94",,,607208,1,9,"Top",101.97,164.87,,,592200,,,-4.184980747917176,-118.6480375806254,-2.0194161095458174,12.328309785130399,23.572867834660126,-29.54058265373144,"3.29","1.54",57,"80.4",4,"81.7",1553,"6.5",662089,501625,592200,573131,642731,527038,543063,592626,573262,670768,"54.03",0.246,0.221,"0",1,0,0,2,76,2,"Changeup",3,2,2,3,2,3,2,3,"Standard","Standard",117,"0.091","-0.412"
"CH","2022-06-11","79.6","1.2","5.7","Alvarez, Jose",669257,501625,,"ball",,,,,14,"Will Smith grounds into a force out, third baseman Wilmer Flores to second baseman Thairo Estrada.   Trea Turner out at 2nd.    Will Smith to 1st.","R","R","L","SF","LAD","B",,,0,0,2022,"1.23","0.46","1.28","2.39",,,607208,1,9,"Top",,,,,592200,,,-2.154210255434549,-115.9207453897779,-1.3687997301785835,11.532144319994774,21.790920147095807,-27.99754457710214,"3.3","1.56",,,,"79.9",1489,"6.5",662089,501625,592200,573131,642731,527038,543063,592626,573262,670768,"54.01",,,,,,,,76,1,"Changeup",3,2,2,3,2,3,2,3,"Standard","Standard",119,"0","0.042"
"CH","2022-06-11","81.3","1.45","5.55","Alvarez, Jose",571970,501625,"strikeout","swinging_strike",,,,,9,"Max Muncy strikes out swinging.","R","L","L","SF","LAD","S",2,,0,2,2022,"1.26","0.26","0.68","1.75",,,607208,0,9,"Top",,,,,592200,,,-4.175364282740668,-118.40135230282907,-2.418603690185649,12.6618752870958,22.655867869465208,-29.515273589859984,"3.12","1.49",,,,"82",1401,"6.7",662089,501625,592200,573131,642731,527038,543063,592626,573262,670768,"53.76",,,"0",1,0,0,,75,3,"Changeup",3,2,2,3,2,3,2,3,"Infield shift","Standard",113,"0.104","-0.209"
"SI","2022-06-11","89.9","1.28","5.75","Alvarez, Jose",571970,501625,,"called_strike",,,,,4,"Max Muncy strikes out swinging.","R","L","L","SF","LAD","S",,,0,1,2022,"1.24","0.87","-0.43","2.57",,,607208,0,9,"Top",,,,,592200,,,-6.906288483631699,-130.8092087000995,-3.7791222072394737,15.700810025199383,27.68892228535668,-21.568268831288975,"3.12","1.5",,,,"90.3",2017,"6.5",662089,501625,592200,573131,642731,527038,543063,592626,573262,670768,"53.98",,,,,,,,75,2,"Sinker",3,2,2,3,2,3,2,3,"Infield shift","Standard",134,"0","-0.08"
"SI","2022-06-11","89.1","1.29","5.72","Alvarez, Jose",571970,501625,,"foul",,,,,6,"Max Muncy strikes out swinging.","R","L","L","SF","LAD","S",,,0,0,2022,"1.37","0.78","0.69","2.09",,,607208,0,9,"Top",,,,,592200,,,-4.370537070198283,-129.71614755412227,-4.538217475023908,16.354061792834532,27.451403229415337,-22.591673742247185,"3.12","1.49",4,"84.4",-25,"89.6",2041,"6.6",662089,501625,592200,573131,642731,527038,543063,592626,573262,670768,"53.91",,,,,,,,75,1,"Sinker",3,2,2,3,2,3,2,3,"Strategic","Standard",139,"0","-0.066"
