"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SL","2022-07-07","85.3","-1.96","5.69","Solomon, Jared",663647,676660,"strikeout","swinging_strike",,,,,14,"Ke\'Bryan Hayes strikes out swinging.","R","R","R","CIN","PIT","S",2,,0,2,2022,"0.26","0.19","1.34","1.2",,,,2,9,"Top",,,,,657709,,,7.197297542802249,-124.14568417978504,-4.691905115725697,1.4022676147702806,22.54751147191456,-29.482843507818544,"3.22","1.49",,,,"85.2",2253,"6",663071,676660,657709,519058,663697,592273,571657,502054,669222,546991,"54.49",,,"0",1,0,0,,70,5,"Slider",2,4,4,2,4,2,4,2,"Standard","Standard",96,"0.003","-0.059"
"SI","2022-07-07","96.2","-2.07","5.81","Solomon, Jared",663647,676660,,"foul",,,,,8,"Ke\'Bryan Hayes strikes out swinging.","R","R","R","CIN","PIT","S",,,0,2,2022,"-1.36","0.76","0.13","1.42",,,,2,9,"Top",,,,,657709,,,8.83796066515214,-139.70649796818256,-7.73995546769576,-19.71491255767297,29.973969578318286,-20.69958330306887,"3.22","1.49",1,"68.6",-63,"95.7",2177,"6",663071,676660,657709,519058,663697,592273,571657,502054,669222,546991,"54.52",,,,,,,,70,4,"Sinker",2,4,4,2,4,2,4,2,"Standard","Standard",230,"0","0"
"SL","2022-07-07","84.3","-2.07","5.69","Solomon, Jared",663647,676660,,"foul",,,,,11,"Ke\'Bryan Hayes strikes out swinging.","R","R","R","CIN","PIT","S",,,0,2,2022,"0.44","0.11","-0.19","3.37",,,,2,9,"Top",,,,,657709,,,3.470576705040285,-122.8098417272823,0.7213904833907443,3.8374933052762725,23.250083023932678,-31.428858643144054,"3.22","1.49",,"72.4",13,,2332,"5.7",663071,676660,657709,519058,663697,592273,571657,502054,669222,546991,"54.77",,,,,,,,70,3,"Slider",2,4,4,2,4,2,4,2,"Standard","Standard",86,"0","0"
"SL","2022-07-07","85.6","-2.06","5.66","Solomon, Jared",663647,676660,,"foul_tip",,,,,3,"Ke\'Bryan Hayes strikes out swinging.","R","R","R","CIN","PIT","S",,,0,1,2022,"0.3","0.23","0.32","3.07",,,,2,9,"Top",,,,,657709,,,4.974444881762826,-124.65863266390822,-0.3560600876041632,2.261358593241961,23.072134382924034,-29.918809149636683,"3.22","1.49",,,,"85.3",2282,"5.9",663071,676660,657709,519058,663697,592273,571657,502054,669222,546991,"54.64",,,,,,,,70,2,"Slider",2,4,4,2,4,2,4,2,"Standard","Standard",99,"0","-0.023"
"SL","2022-07-07","88.1","-2.13","5.82","Solomon, Jared",663647,676660,,"called_strike",,,,,3,"Ke\'Bryan Hayes strikes out swinging.","R","R","R","CIN","PIT","S",,,0,0,2022,"-0.21","0.19","0.81","2.93",,,,2,9,"Top",,,,,657709,,,7.4904145958739505,-128.1252536327453,-1.347563951143147,-3.7314978974622885,24.750155419999196,-30.054970900884275,"3.08","1.42",,,,"87.5",2164,"5.8",663071,676660,657709,519058,663697,592273,571657,502054,669222,546991,"54.69",,,,,,,,70,1,"Slider",2,4,4,2,4,2,4,2,"Standard","Standard",163,"0","-0.017"
"SL","2022-07-07","85.7","-1.99","5.78","Solomon, Jared",641511,676660,"strikeout","called_strike",,,,,12,"Jason Delay called out on strikes.","R","R","R","CIN","PIT","S",2,,0,2,2022,"0.37","0.32","1.01","3.23",,,,1,9,"Top",,,,,657709,,,6.29118312708275,-124.74406717822806,-0.48488481145073925,2.7129347865567404,22.440734972431798,-28.94459189065842,"3.38","1.51",,,,"85.3",2217,"5.8",663071,676660,657709,519058,663697,592273,571657,502054,669222,546991,"54.73",,,"0",1,0,0,,69,4,"Slider",2,4,4,2,4,2,4,2,"Standard","Standard",97,"0.006","-0.1"
"SI","2022-07-07","95.6","-2.17","5.86","Solomon, Jared",641511,676660,,"foul",,,,,2,"Jason Delay called out on strikes.","R","R","R","CIN","PIT","S",,,0,2,2022,"-1.4","0.83","-0.16","2.86",,,,1,9,"Top",,,,,657709,,,8.341581324668885,-138.88296800908162,-4.072524724153832,-19.955270918156877,32.323907545480935,-20.6585429676502,"3.32","1.51",223,"83.6",20,"94.4",2253,"5.7",663071,676660,657709,519058,663697,592273,571657,502054,669222,546991,"54.76",,,,,,,,69,3,"Sinker",2,4,4,2,4,2,4,2,"Standard","Standard",234,"0","0"
"SL","2022-07-07","85.5","-2.29","5.78","Solomon, Jared",641511,676660,,"foul",,,,,6,"Jason Delay called out on strikes.","R","R","R","CIN","PIT","S",,,0,1,2022,"0.17","0.36","0.3","2.34",,,,1,9,"Top",,,,,657709,,,5.7177499814255235,-124.45474902702871,-2.6016540037985347,0.7275054904801179,22.74529329502104,-28.08126918746535,"3.32","1.51",177,"65.2",45,"85.2",2201,"5.9",663071,676660,657709,519058,663697,592273,571657,502054,669222,546991,"54.63",,,,,,,,69,2,"Slider",2,4,4,2,4,2,4,2,"Standard","Standard",100,"0","-0.031"
"SL","2022-07-07","85.5","-2.18","5.89","Solomon, Jared",641511,676660,,"called_strike",,,,,2,"Jason Delay called out on strikes.","R","R","R","CIN","PIT","S",,,0,0,2022,"0.26","0.35","0.28","3.24",,,,1,9,"Top",,,,,657709,,,5.212783598561285,-124.43875431667144,-0.7015911308204112,1.7196526970311354,23.886432958575348,-28.583297965955385,"3.43","1.52",,,,"84.8",2159,"5.7",663071,676660,657709,519058,663697,592273,571657,502054,669222,546991,"54.76",,,,,,,,69,1,"Slider",2,4,4,2,4,2,4,2,"Standard","Standard",104,"0","-0.024"
"SI","2022-07-07","94.3","-2.01","6.02","Solomon, Jared",592325,676660,"field_out","hit_into_play",,,,,2,"Ben Gamel flies out to left fielder Tommy Pham.","R","L","R","CIN","PIT","X",7,"fly_ball",0,0,2022,"-1.14","1.19","0.11","3.07",,,,0,9,"Top",50.67,102.32,,,657709,,,7.938930202906097,-137.15045839619344,-4.585444605030318,-16.06836075947061,29.559570124498723,-16.32560762635678,"3.3","1.54",303,"85.3",31,"93.6",2189,"5.9",663071,676660,657709,519058,663697,592273,571657,502054,669222,546991,"54.65",0.049,0.063,"0",1,0,0,3,68,1,"Sinker",2,4,4,2,4,2,4,2,"Standard","Standard",230,"0.007","-0.221"
"SI","2022-06-25","97.1","-2.13","5.63","Solomon, Jared",592626,676660,"field_out","hit_into_play",,,,,7,"Joc Pederson grounds out, shortstop Kyle Farmer to first baseman Joey Votto.","R","L","R","SF","CIN","X",6,"ground_ball",2,1,2022,"-1.38","0.87","-0.37","2.16",,,,2,6,"Bot",110.6,160.3,,,605244,,,7.835913162101349,-141.07668528003938,-5.710553705016674,-20.23922284900655,32.27928295287578,-19.3887328325229,"3.46","1.72",6,"104.6",-18,"96.6",2311,"6.1",662083,676660,605244,458015,663697,592273,571657,502054,669222,546991,"54.4",0.217,0.202,"0",1,0,0,2,53,4,"Sinker",9,1,9,1,1,9,9,1,"Infield shift","Standard",231,"-0.001","-0.114"
"CH","2022-06-25","90.2","-2.28","5.59","Solomon, Jared",592626,676660,,"ball",,,,,14,"Joc Pederson grounds out, shortstop Kyle Farmer to first baseman Joey Votto.","R","L","R","SF","CIN","B",,,1,1,2022,"-1.49","0.5","0.42","0.77",,,,2,6,"Bot",,,,,605244,,,9.763904199569087,-130.77529281171584,-6.954664628333043,-19.171025702635315,29.404248847356815,-25.071805414710177,"3.49","1.6",,,,"88.9",2111,"5.9",662083,676660,605244,458015,663697,592273,571657,502054,669222,546991,"54.64",,,,,,,,53,3,"Changeup",9,1,9,1,1,9,9,1,"Infield shift","Standard",246,"0","0.021"
