"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"KC","2022-10-04","88","-2.27","5.39","Brash, Matt",622682,666374,"field_out","hit_into_play",,,,,9,"Victor Reyes flies out to center fielder Julio Rodriguez.","R","L","R","SEA","DET","X",8,"fly_ball",0,2,2022,"1.07","-0.61","0.43","1.99",,,,2,8,"Top",94.95,80.12,,,620443,,,4.366535304318359,-128.09101475025224,-0.8417405715589868,10.735300576300252,28.226436416186612,-38.91700146273024,"3.7","1.75",305,"87.1",33,"88.2",3287,"6.5",662199,666374,620443,467793,647351,553993,664238,672284,677594,624428,"53.95",0.029,0.04,"0",1,0,0,3,77,3,"Knuckle Curve",9,6,6,9,6,9,6,9,"Standard","Standard",49,"0.006","-0.059"
"SL","2022-10-04","89.4","-2.31","5.4","Brash, Matt",622682,666374,,"swinging_strike",,,,,14,"Victor Reyes flies out to center fielder Julio Rodriguez.","R","L","R","SEA","DET","S",,,0,1,2022,"1.11","0.05","1.41","0.76",,,,2,8,"Top",,,,,620443,,,6.8306099611866165,-129.85447115339394,-5.436748627271377,10.880551268237339,30.51668578159201,-30.524111224388765,"3.7","1.75",,,,"89.1",3039,"6.5",662199,666374,620443,467793,647351,553993,664238,672284,677594,624428,"54.03",,,,,,,,77,2,"Slider",9,6,6,9,6,9,6,9,"Standard","Standard",41,"0","-0.023"
"SL","2022-10-04","87.4","-2.34","5.43","Brash, Matt",622682,666374,,"foul",,,,,14,"Victor Reyes flies out to center fielder Julio Rodriguez.","R","L","R","SEA","DET","S",,,0,0,2022,"1.36","0.15","1.04","1.5",,,,2,8,"Top",,,,,620443,,,5.381052420404344,-127.15661460846303,-3.5702203823775776,13.436117957590218,28.66818043852111,-29.956490284576716,"3.7","1.75",4,"32.6",-24,"87.4",2987,"6.5",662199,666374,620443,467793,647351,553993,664238,672284,677594,624428,"53.96",,,,,,,,77,1,"Slider",9,6,6,9,6,9,6,9,"Standard","Standard",35,"0","-0.017"
"FF","2022-10-04","96.6","-2.28","5.41","Brash, Matt",668731,666374,"field_out","hit_into_play",,,,,5,"Akil Baddoo lines out to center fielder Julio Rodriguez.","R","L","R","SEA","DET","X",8,"line_drive",1,1,2022,"-0.7","1.41","-0.19","2.24",,,,1,8,"Top",134.1,84.58,,,620443,,,7.1698677724270965,-140.34721976368405,-6.069000732228286,-10.927041819774777,32.5857027928461,-12.381664760850924,"3.28","1.59",287,"85.7",22,"96.7",2323,"6.5",662199,666374,620443,467793,647351,553993,664238,672284,677594,624428,"54.02",0.354,0.337,"0",1,0,0,3,76,3,"4-Seam Fastball",9,6,6,9,6,9,6,9,"Strategic","Standard",223,"0.013","-0.148"
"SL","2022-10-04","87.4","-2.36","5.42","Brash, Matt",668731,666374,,"swinging_strike",,,,,14,"Akil Baddoo lines out to center fielder Julio Rodriguez.","R","L","R","SEA","DET","S",,,1,0,2022,"1.47","0.05","1.35","2.01",,,,1,8,"Top",,,,,620443,,,5.9097021933553435,-127.08916937657825,-2.122218264826075,14.532793989804889,27.90323569678907,-31.42545534558743,"3.28","1.59",,,,"87.3",2888,"6.4",662199,666374,620443,467793,647351,553993,664238,672284,677594,624428,"54.08",,,,,,,,76,2,"Slider",9,6,6,9,6,9,6,9,"Strategic","Standard",37,"0","-0.031"
"KC","2022-10-04","84.8","-2.31","5.41","Brash, Matt",668731,666374,,"ball",,,,,14,"Akil Baddoo lines out to center fielder Julio Rodriguez.","R","L","R","SEA","DET","B",,,0,0,2022,"1.14","-0.76","0.37","1.24",,,,1,8,"Top",,,,,620443,,,4.0207538508954865,-123.41418236187762,-1.8524857599613065,10.658990721809635,26.943803966220287,-39.67698021467829,"3.28","1.67",,,,"84.9",2981,"6.6",662199,666374,620443,467793,647351,553993,664238,672284,677594,624428,"53.94",,,,,,,,76,1,"Knuckle Curve",9,6,6,9,6,9,6,9,"Standard","Standard",347,"0","0.023"
"KC","2022-10-04","87.8","-2.41","5.46","Brash, Matt",668952,666374,"field_out","hit_into_play",,,,,8,"Ryan Kreidler flies out to right fielder Adam Frazier.","R","R","R","SEA","DET","X",9,"fly_ball",1,2,2022,"1.13","-0.19","-0.1","1.79",,,,0,8,"Top",187.06,99.3,,,620443,,,3.2811640028894766,-127.868615861614,-2.3771476897493025,11.629128080889632,27.3169357281999,-33.991537900603234,"3.48","1.65",289,"87.8",39,"87.9",2916,"6.4",662199,666374,620443,467793,647351,553993,664238,672284,677594,624428,"54.12",0.011,0.016,"0",1,0,0,3,75,5,"Knuckle Curve",9,6,6,9,6,9,6,9,"Standard","Standard",51,"0.021","-0.158"
"KC","2022-10-04","85.5","-2.29","5.3","Brash, Matt",668952,666374,,"foul",,,,,9,"Ryan Kreidler flies out to right fielder Adam Frazier.","R","R","R","SEA","DET","S",,,1,2,2022,"1.35","-0.2","0.46","1.82",,,,0,8,"Top",,,,,620443,,,3.7985553214422993,-124.51469236907897,-1.5027562484520853,13.131143609822812,26.545125695448256,-34.15917241974533,"3.48","1.65",6,"53.7",-17,"85.7",2927,"6.5",662199,666374,620443,467793,647351,553993,664238,672284,677594,624428,"53.96",,,,,,,,75,4,"Knuckle Curve",9,6,6,9,6,9,6,9,"Standard","Standard",47,"0","0"
"SL","2022-10-04","87.5","-2.28","5.32","Brash, Matt",668952,666374,,"ball",,,,,14,"Ryan Kreidler flies out to right fielder Adam Frazier.","R","R","R","SEA","DET","B",,,0,2,2022,"0.96","0.06","1.6","0.42",,,,0,8,"Top",,,,,620443,,,7.392612401199071,-127.21128820687544,-5.796350285719656,8.797322996901414,27.023040608217507,-30.469565370733307,"3.36","1.56",,,,"87.6",3012,"6.5",662199,666374,620443,467793,647351,553993,664238,672284,677594,624428,"54.04",,,,,,,,75,3,"Slider",9,6,6,9,6,9,6,9,"Standard","Standard",27,"0","0.017"
"SL","2022-10-04","85.5","-2.16","5.38","Brash, Matt",668952,666374,,"swinging_strike",,,,,14,"Ryan Kreidler flies out to right fielder Adam Frazier.","R","R","R","SEA","DET","S",,,0,1,2022,"1.35","0.05","1.13","2.25",,,,0,8,"Top",,,,,620443,,,5.069918994060028,-124.50118729784435,-1.1674631358567575,12.898255353615756,26.130220486517953,-31.65822704866122,"3.48","1.65",,,,"85.8",2885,"6.5",662199,666374,620443,467793,647351,553993,664238,672284,677594,624428,"53.97",,,,,,,,75,2,"Slider",9,6,6,9,6,9,6,9,"Standard","Standard",52,"0","-0.046"
