"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FS","2022-06-10","81.5","-1.84","6.04","Barker, Luke",671277,673316,"field_out","hit_into_play",,,,,7,"Luis Garcia grounds out, second baseman Luis Urias to first baseman Rowdy Tellez.","R","L","R","WSH","MIL","X",4,"ground_ball",0,1,2022,"0.1","0.73","-0.51","1.61",,660688,,2,8,"Bot",153.8,155.98,,,553882,,,2.8034984921986843,-118.60011338601025,-4.760600215362137,0.39364851334140705,24.008260708046006,-24.57791593920562,"3.5","1.72",53,"78.1",3,"81.6",414,"6.5",662511,673316,553882,642133,649966,607054,642715,457705,621438,592669,"53.99",0.191,0.172,"0",1,0,0,2,78,2,"Split-Finger",11,5,11,5,5,11,11,5,"Standard","Standard",260,"0","-0.268"
"FF","2022-06-10","90.5","-1.96","5.69","Barker, Luke",671277,673316,,"swinging_strike",,,,,7,"Luis Garcia grounds out, second baseman Luis Urias to first baseman Rowdy Tellez.","R","L","R","WSH","MIL","S",,,0,0,2022,"-0.72","1.5","-0.43","2.26",,660688,,2,8,"Bot",,,,,553882,,,5.382697564538077,-131.58459129496097,-5.829761107545358,-9.555474608568181,28.792378140021302,-13.670540119575085,"3.5","1.72",,,,"90.6",2288,"6.5",662511,673316,553882,642133,649966,607054,642715,457705,621438,592669,"54.02",,,,,,,,78,1,"4-Seam Fastball",11,5,11,5,5,11,11,5,"Standard","Standard",210,"0","-0.046"
"FF","2022-06-10","91.3","-1.84","5.77","Barker, Luke",596748,673316,"field_out","hit_into_play",,,,,5,"Maikel Franco lines out to left fielder Andrew McCutchen.","R","R","R","WSH","MIL","X",7,"line_drive",1,1,2022,"-0.4","1.57","0","2.34",,660688,,1,8,"Bot",53.18,89.39,,,553882,,,5.525434409565636,-132.75356020586125,-6.098787616235748,-5.992545991727317,30.522514409793846,-12.553374533829572,"3.3","1.51",324,"99.1",16,"91.5",2237,"6.6",662511,673316,553882,642133,649966,607054,642715,457705,621438,592669,"53.85",0.586,0.578,"0",1,0,0,4,77,3,"4-Seam Fastball",11,5,11,5,5,11,11,5,"Standard","Standard",207,"0","-0.319"
"FS","2022-06-10","82.2","-1.7","6.03","Barker, Luke",596748,673316,,"ball",,,,,14,"Maikel Franco lines out to left fielder Andrew McCutchen.","R","R","R","WSH","MIL","B",,,0,1,2022,"-0.01","0.23","0.61","0.28",,,660688,1,8,"Bot",,,,,553882,,,5.283431650565254,-119.50292167838217,-6.968517233791973,-1.1031159440766902,22.884791690467566,-28.781572289959037,"3.33","1.45",,,,"82.7",474,"6.7",662511,673316,553882,642133,649966,607054,642715,457705,621438,592669,"53.82",,,,,,,,77,2,"Split-Finger",11,5,11,5,5,11,11,5,"Strategic","Standard",252,"0","0.031"
"FF","2022-06-10","91.1","-1.93","5.72","Barker, Luke",596748,673316,,"swinging_strike",,,,,4,"Maikel Franco lines out to left fielder Andrew McCutchen.","R","R","R","WSH","MIL","S",,,0,0,2022,"-0.61","1.58","-0.34","2.51",,,660688,1,8,"Bot",,,,,553882,,,5.358594271476406,-132.56587151943336,-5.607806019476561,-8.324464945183388,27.67237572650285,-12.540325643822184,"3.3","1.51",,,,"92",2337,"6.8",662511,673316,553882,642133,649966,607054,642715,457705,621438,592669,"53.74",,,,,,,,77,1,"4-Seam Fastball",11,5,11,5,5,11,11,5,"Strategic","Standard",204,"0","-0.048"
"FS","2022-06-10","82.9","-1.68","5.91","Barker, Luke",660688,673316,"single","hit_into_play",,,,,13,"Keibert Ruiz singles on a line drive to center fielder Tyrone Taylor.","R","L","R","WSH","MIL","X",8,"line_drive",1,2,2022,"-0.49","0.04","-0.23","0.33",,,,1,8,"Bot",147.32,96.55,,,553882,,,4.287078709018971,-120.61934959979217,-6.375692293386298,-5.6164724017570755,24.321419739501465,-30.702200062590425,"3.22","1.53",207,"73.9",18,"83.2",592,"6.6",662511,673316,553882,642133,649966,607054,642715,457705,621438,592669,"53.9",0.866,0.815,"0.9",1,1,0,4,76,4,"Split-Finger",11,5,11,5,5,11,11,5,"Infield shift","Standard",249,"0","0.306"
"FF","2022-06-10","91.2","-1.94","5.71","Barker, Luke",660688,673316,,"foul",,,,,11,"Keibert Ruiz singles on a line drive to center fielder Tyrone Taylor.","R","L","R","WSH","MIL","S",,,1,1,2022,"-0.81","1.46","-0.87","2.41",,,,1,8,"Bot",,,,,553882,,,4.448001756694617,-132.693702739921,-5.574184193437318,-10.511156734147102,27.8162610665438,-13.952071918284492,"3.22","1.53",213,"78",53,"91.8",2235,"6.6",662511,673316,553882,642133,649966,607054,642715,457705,621438,592669,"53.92",,,,,,,,76,3,"4-Seam Fastball",11,5,11,5,5,11,11,5,"Infield shift","Standard",207,"0","-0.036"
"FS","2022-06-10","82","-1.68","5.96","Barker, Luke",660688,673316,,"called_strike",,,,,5,"Keibert Ruiz singles on a line drive to center fielder Tyrone Taylor.","R","L","R","WSH","MIL","S",,,1,0,2022,"0.01","0.53","0.1","2.52",,,,1,8,"Bot",,,,,553882,,,4.042944623142274,-119.36250493111008,-2.21567162275217,-0.7670150840341914,24.723553438344688,-26.875709602342788,"3.25","1.54",,,,"82.2",484,"6.6",662511,673316,553882,642133,649966,607054,642715,457705,621438,592669,"53.94",,,,,,,,76,2,"Split-Finger",11,5,11,5,5,11,11,5,"Infield shift","Standard",249,"0","-0.031"
"FF","2022-06-10","91.2","-2.05","5.61","Barker, Luke",660688,673316,,"ball",,,,,13,"Keibert Ruiz singles on a line drive to center fielder Tyrone Taylor.","R","L","R","WSH","MIL","B",,,0,0,2022,"-0.66","1.63","-2.29","2.16",,,,1,8,"Bot",,,,,553882,,,0.8155798091101207,-132.79862275194856,-6.309525695276227,-7.974890694908957,28.485301477055945,-11.738344507915965,"3.23","1.52",,,,"91.7",2248,"6.5",662511,673316,553882,642133,649966,607054,642715,457705,621438,592669,"53.95",,,,,,,,76,1,"4-Seam Fastball",11,5,11,5,5,11,11,5,"Infield shift","Standard",207,"0","0.023"
"FS","2022-06-10","82.5","-1.66","6.11","Barker, Luke",605137,673316,"strikeout","swinging_strike",,,,,11,"Josh Bell strikes out swinging.","R","L","R","WSH","MIL","S",2,,2,2,2022,"-0.43","0.28","-0.42","4.45",,,,0,8,"Bot",,,,,553882,,,3.6783693144387817,-120.0790306112584,2.2389648937614055,-4.891088433265471,24.70994148488291,-30.124911013937,"3.77","1.78",,,,"82.7",404,"6.6",662511,673316,553882,642133,649966,607054,642715,457705,621438,592669,"53.94",,,"0",1,0,0,,75,6,"Split-Finger",11,5,11,5,5,11,11,5,"Infield shift","Standard",261,"0","-0.195"
"FF","2022-06-10","91.8","-1.88","5.73","Barker, Luke",605137,673316,,"ball",,,,,11,"Josh Bell strikes out swinging.","R","L","R","WSH","MIL","B",,,1,2,2022,"-0.45","1.74","-1.79","3.77",,,,0,8,"Bot",,,,,553882,,,1.2058370232302262,-133.7316821903994,-2.911372028305383,-5.652480201728904,29.73320263485907,-10.854447058427224,"3.59","1.7",,,,"92.2",2337,"6.6",662511,673316,553882,642133,649966,607054,642715,457705,621438,592669,"53.94",,,,,,,,75,5,"4-Seam Fastball",11,5,11,5,5,11,11,5,"Infield shift","Standard",201,"0","0.037"
"FF","2022-06-10","92","-1.97","5.74","Barker, Luke",605137,673316,,"ball",,,,,11,"Josh Bell strikes out swinging.","R","L","R","WSH","MIL","B",,,0,2,2022,"-0.57","1.62","-2.39","4.8",,,,0,8,"Bot",,,,,553882,,,0.16965021172310368,-133.97151877233864,0.000643459183906625,-6.815678880846546,31.39332997284976,-13.051688983793644,"3.59","1.67",,,,"92.3",2296,"6.6",662511,673316,553882,642133,649966,607054,642715,457705,621438,592669,"53.89",,,,,,,,75,4,"4-Seam Fastball",11,5,11,5,5,11,11,5,"Infield shift","Standard",206,"0","0.017"
"FS","2022-06-10","83.3","-1.69","5.92","Barker, Luke",605137,673316,,"foul",,,,,13,"Josh Bell strikes out swinging.","R","L","R","WSH","MIL","S",,,0,2,2022,"-0.06","0.08","-1.18","1.81",,,,0,8,"Bot",,,,,553882,,,1.2907832582248293,-121.21889349707529,-3.117334213973302,-0.8294144629267914,25.68758394797891,-30.9677899683688,"3.77","1.78",1,"60.7",-61,"83.6",489,"6.7",662511,673316,553882,642133,649966,607054,642715,457705,621438,592669,"53.85",,,,,,,,75,3,"Split-Finger",11,5,11,5,5,11,11,5,"Infield shift","Standard",254,"0","0"
"FF","2022-06-10","92","-1.79","5.76","Barker, Luke",605137,673316,,"foul_tip",,,,,5,"Josh Bell strikes out swinging.","R","L","R","WSH","MIL","S",,,0,1,2022,"-0.36","1.64","-0.23","2.54",,,,0,8,"Bot",,,,,553882,,,4.744740064689244,-133.75984883670768,-5.89306923620241,-5.325882963938066,29.41843667809941,-11.471216335381971,"3.77","1.78",,,,"92.5",2254,"6.7",662511,673316,553882,642133,649966,607054,642715,457705,621438,592669,"53.82",,,,,,,,75,2,"4-Seam Fastball",11,5,11,5,5,11,11,5,"Infield shift","Standard",213,"0","-0.046"
"FF","2022-06-10","91.9","-1.9","5.69","Barker, Luke",605137,673316,,"called_strike",,,,,11,"Josh Bell strikes out swinging.","R","L","R","WSH","MIL","S",,,0,0,2022,"-0.54","1.59","-1.07","3.21",,,,0,8,"Bot",,,,,553882,,,3.2994442538657913,-133.7334834461449,-3.866323519313193,-7.243511258899752,30.698206208802656,-12.516565770736342,"3.75","1.75",,,,"92.3",2323,"6.6",662511,673316,553882,642133,649966,607054,642715,457705,621438,592669,"53.86",,,,,,,,75,1,"4-Seam Fastball",11,5,11,5,5,11,11,5,"Infield shift","Standard",208,"0","-0.034"
"FF","2022-06-10","90.1","-1.97","5.59","Barker, Luke",443558,673316,"home_run","hit_into_play",,,,,9,"Nelson Cruz homers (6) on a fly ball to right center field.","R","R","R","WSH","MIL","X",,"fly_ball",1,0,2022,"-0.57","1.5","0.75","2.2",,,,0,8,"Bot",186.27,41.07,,,553882,,,8.0080425713091,-130.8594064765438,-5.641132712076292,-8.248754180036036,28.24719403648085,-13.908421107766912,"3.66","1.68",417,"108.7",26,"90.4",2240,"6.7",662511,673316,553882,642133,649966,607054,642715,457705,621438,592669,"53.85",0.98,2.014,"2",1,0,3,6,74,2,"4-Seam Fastball",10,5,10,5,5,11,11,5,"Standard","Standard",209,"0.002","0.967"
"FF","2022-06-10","91","-1.88","5.66","Barker, Luke",443558,673316,,"ball",,,,,13,"Nelson Cruz homers (6) on a fly ball to right center field.","R","R","R","WSH","MIL","B",,,0,0,2022,"-0.63","1.53","-1.12","2.32",,,,0,8,"Bot",,,,,553882,,,3.2659424370543277,-132.39215236306748,-5.765306543377232,-8.075815576928221,29.962627314932593,-13.132748848154538,"3.79","1.64",,,,"91.4",2217,"6.7",662511,673316,553882,642133,649966,607054,642715,457705,621438,592669,"53.85",,,,,,,,74,1,"4-Seam Fastball",10,5,10,5,5,10,10,5,"Standard","Standard",206,"0","0.033"
"FF","2022-06-08","90.6","-1.75","5.75","Barker, Luke",592663,673316,"strikeout","swinging_strike",,,,,11,"J.T. Realmuto strikes out swinging.","R","R","R","MIL","PHI","S",2,,0,2,2022,"-0.44","1.66","-0.3","3.84",,,666160,2,9,"Top",,,,,605170,,,4.570010859356837,-131.83294373242592,-2.34626434560881,-6.179378185523639,30.18984051485921,-12.644788685861537,"3.58","1.69",,,,"90.2",2295,"6.2",661188,673316,605170,642133,649966,607054,642715,592885,456715,592669,"54.28",,,"0",1,0,0,,69,4,"4-Seam Fastball",0,10,10,0,10,0,10,0,"Standard","Standard",205,"0","-0.135"
"FF","2022-06-08","89.3","-1.79","5.61","Barker, Luke",592663,673316,,"foul",,,,,4,"J.T. Realmuto strikes out swinging.","R","R","R","MIL","PHI","S",,,0,2,2022,"-0.71","1.47","-0.78","2.38",,,666160,2,9,"Top",,,,,605170,,,3.994290590859212,-130.003283810286,-5.019098351305788,-8.937813982269915,28.02825616135497,-14.720294113167785,"3.58","1.69",333,"102.1",23,"89.3",2231,"6.3",661188,673316,605170,642133,649966,607054,642715,592885,456715,592669,"54.15",,,,,,,,69,3,"4-Seam Fastball",0,10,10,0,10,0,10,0,"Standard","Standard",204,"0","0"
"FF","2022-06-08","90","-1.77","5.71","Barker, Luke",592663,673316,,"foul",,,,,12,"J.T. Realmuto strikes out swinging.","R","R","R","MIL","PHI","S",,,0,1,2022,"-0.32","1.63","1.01","3.18",,,666160,2,9,"Top",,,,,605170,,,7.574468093893904,-130.75648083527187,-3.7111103793469247,-5.321088286407613,28.68046182827875,-12.901546218974632,"3.58","1.69",156,"74.7",14,"89.8",2303,"6.3",661188,673316,605170,642133,649966,607054,642715,592885,456715,592669,"54.18",,,,,,,,69,2,"4-Seam Fastball",0,10,10,0,10,0,10,0,"Standard","Standard",206,"0","-0.048"
"FF","2022-06-08","90.5","-1.74","5.72","Barker, Luke",592663,673316,,"called_strike",,,,,13,"J.T. Realmuto strikes out swinging.","R","R","R","MIL","PHI","S",,,0,0,2022,"-0.49","1.55","-0.72","1.54",,,666160,2,9,"Top",,,,,605170,,,3.5846853952814732,-131.5737404655086,-7.763808081099616,-6.44326118510241,29.95030525240822,-12.735361061944753,"3.65","1.69",,,,"90.3",2312,"6.4",661188,673316,605170,642133,649966,607054,642715,592885,456715,592669,"54.09",,,,,,,,69,1,"4-Seam Fastball",0,10,10,0,10,0,10,0,"Standard","Standard",203,"0","-0.035"
"FS","2022-06-08","81.1","-1.58","5.99","Barker, Luke",592206,673316,"single","hit_into_play",,,,,2,"Nick Castellanos singles on a sharp line drive to left fielder Christian Yelich.","R","R","R","MIL","PHI","X",7,"line_drive",1,2,2022,"-0.25","0.76","0.13","3.67",,,,2,9,"Top",98.66,118.05,,,605170,,,4.318880022648942,-118.0812236493183,-0.013763330621375691,-3.193746774388819,22.86768252853256,-25.2977319472342,"3.6","1.75",164,"102.5",10,"81.3",413,"6.4",661188,673316,605170,642133,649966,607054,642715,592885,456715,592669,"54.08",0.809,0.764,"0.9",1,1,0,4,68,4,"Split-Finger",0,10,10,0,10,0,10,0,"Infield shift","Standard",259,"0","0.147"
"FF","2022-06-08","91.1","-1.91","5.72","Barker, Luke",592206,673316,,"swinging_strike",,,,,11,"Nick Castellanos singles on a sharp line drive to left fielder Christian Yelich.","R","R","R","MIL","PHI","S",,,1,1,2022,"-0.37","1.46","-0.21","4.07",,,,2,9,"Top",,,,,605170,,,5.061732884728948,-132.59888999594287,-1.339661394548243,-5.515961592485786,30.932981277227412,-14.942884905835786,"3.6","1.75",,,,"90.8",2341,"6.3",661188,673316,605170,642133,649966,607054,642715,592885,456715,592669,"54.2",,,,,,,,68,3,"4-Seam Fastball",0,10,10,0,10,0,10,0,"Infield shift","Standard",200,"0","-0.023"
"FF","2022-06-08","91","-1.74","5.7","Barker, Luke",592206,673316,,"foul",,,,,7,"Nick Castellanos singles on a sharp line drive to left fielder Christian Yelich.","R","R","R","MIL","PHI","S",,,1,0,2022,"-0.44","1.52","-0.66","2",,,,2,9,"Top",,,,,605170,,,3.6550289511961185,-132.33761921220628,-6.651929346888145,-5.942744408440136,28.33798488822622,-13.05692698713677,"3.6","1.75",193,"70.3",30,"91.2",2235,"6.5",661188,673316,605170,642133,649966,607054,642715,592885,456715,592669,"54.04",,,,,,,,68,2,"4-Seam Fastball",0,10,10,0,10,0,10,0,"Infield shift","Standard",200,"0","-0.021"
"FF","2022-06-08","91.6","-1.89","5.7","Barker, Luke",592206,673316,,"ball",,,,,13,"Nick Castellanos singles on a sharp line drive to left fielder Christian Yelich.","R","R","R","MIL","PHI","B",,,0,0,2022,"-0.43","1.6","-0.52","1.01",,,,2,9,"Top",,,,,605170,,,4.393205906642405,-133.14027142773443,-9.430691507922202,-6.02560176513574,28.452118600184008,-11.350761576287006,"3.62","1.76",,,,"91.8",2329,"6.5",661188,673316,605170,642133,649966,607054,642715,592885,456715,592669,"54.04",,,,,,,,68,1,"4-Seam Fastball",0,10,10,0,10,0,10,0,"Infield shift","Standard",203,"0","0.015"
"FS","2022-06-08","80.7","-1.55","6.09","Barker, Luke",547180,673316,"home_run","hit_into_play",,,,,3,"Bryce Harper homers (14) on a fly ball to right field.    Bryson Stott scores.    Kyle Schwarber scores.","R","L","R","MIL","PHI","X",,"fly_ball",1,0,2022,"-0.57","0.59","0.47","2.8",681082,656941,,2,9,"Top",243.42,78.19,,,605170,,,5.574531441354803,-117.42684993994719,-1.7677107470290585,-6.320945020192266,22.720580090466086,-26.62934369550211,"3.14","1.58",413,"112.4",25,"80.7",526,"6.4",661188,673316,605170,642133,649966,607054,642715,592885,456715,592669,"54.15",0.989,2.008,"2",1,0,3,6,67,2,"Split-Finger",0,7,7,0,10,0,10,0,"Strategic","Standard",262,"-0.001","2.495"
"FS","2022-06-08","81.5","-1.55","5.82","Barker, Luke",547180,673316,,"blocked_ball",,,,,13,"Bryce Harper homers (14) on a fly ball to right field.    Bryson Stott scores.    Kyle Schwarber scores.","R","L","R","MIL","PHI","B",,,0,0,2022,"-0.3","0.12","-0.43","0.62",681082,656941,,2,9,"Top",,,,,605170,,,3.1314585324972612,-118.66968591621739,-5.341515693775493,-3.4691653353779386,22.702574509138433,-30.266486265122158,"3.47","1.81",,,,"81.9",394,"6.5",661188,673316,605170,642133,649966,607054,642715,592885,456715,592669,"53.99",,,,,,,,67,1,"Split-Finger",0,7,7,0,7,0,7,0,"Infield shift","Standard",262,"0","0.048"
"FF","2022-06-08","90.2","-1.89","5.7","Barker, Luke",656555,673316,"field_out","hit_into_play",,,,,4,"Rhys Hoskins grounds out softly, pitcher Luke Barker to first baseman Rowdy Tellez.","R","R","R","MIL","PHI","X",1,"ground_ball",0,0,2022,"-0.53","1.67","-0.66","2.76",681082,656941,,1,9,"Top",129.23,196.39,,,605170,,,4.180028158344203,-131.18310081863447,-4.875828906684422,-7.046310033344513,29.490433200006798,-12.043426777359738,"3.57","1.7",1,"40",-65,"90.2",2319,"6.4",661188,673316,605170,642133,649966,607054,642715,592885,456715,592669,"54.06",0.203,0.183,"0",1,0,0,1,66,1,"4-Seam Fastball",0,7,7,0,7,0,7,0,"Strategic","Standard",206,"0","-0.355"
"FF","2022-06-08","89.6","-1.76","5.79","Barker, Luke",656941,673316,"double","hit_into_play",,,,,11,"Kyle Schwarber doubles (9) on a ground ball to right fielder Hunter Renfroe.   Alec Bohm scores.    Bryson Stott to 3rd.","R","L","R","MIL","PHI","X",9,"ground_ball",1,0,2022,"-0.33","1.5","-0.14","3.65",664761,,681082,1,9,"Top",176.06,133.35,,,605170,,,4.705783608045102,-130.4692049942647,-2.466594052192738,-4.815357390555979,28.53287085503655,-14.754710136555358,"3.33","1.61",41,"107.3",-3,"89.7",2305,"6.4",661188,673316,605170,642133,649966,607054,642715,592885,456715,592669,"54.11",0.423,0.381,"1.25",1,1,1,4,65,2,"4-Seam Fastball",0,6,6,0,7,0,7,0,"Standard","Standard",203,"-0.001","1.19"
"CU","2022-06-08","80.5","-1.66","5.83","Barker, Luke",656941,673316,,"ball",,,,,14,"Kyle Schwarber doubles (9) on a ground ball to right fielder Hunter Renfroe.   Alec Bohm scores.    Bryson Stott to 3rd.","R","L","R","MIL","PHI","B",,,0,0,2022,"0.3","0.05","0.94","1.25",664761,,681082,1,9,"Top",,,,,605170,,,5.2043550547036395,-117.11124657080101,-3.5647946249615474,1.7496830748224683,22.799646683118638,-31.188317722947453,"3.46","1.61",,,,"80.8",2606,"6.6",661188,673316,605170,642133,649966,607054,642715,592885,456715,592669,"53.95",,,,,,,,65,1,"Curveball",0,6,6,0,6,0,6,0,"Standard","Standard",71,"0","0.054"
"CU","2022-06-08","81.2","-1.69","5.93","Barker, Luke",681082,673316,"single","hit_into_play",,,,,4,"Bryson Stott singles on a ground ball to pitcher Luke Barker.","R","L","R","MIL","PHI","X",1,"ground_ball",2,1,2022,"0.16","0.21","-0.44","2.32",664761,,,1,9,"Top",124.81,181.14,,,605170,,,2.511455505646425,-118.21373916778848,-1.7865438908326015,0.9477222389286414,25.051965015342354,-30.08894498417737,"3.3","1.56",19,"90.2",-6,"80.9",2637,"6.3",661188,673316,605170,642133,649966,607054,642715,592885,456715,592669,"54.22",0.149,0.134,"0.9",1,1,0,2,64,4,"Curveball",0,6,6,0,6,0,6,0,"Strategic","Standard",73,"0","0.543"
