"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"CH","2022-10-01","87.8","-2.37","4.93","Henriquez, Ronny",605612,678692,"field_out","hit_into_play",,,,,13,"Harold Castro grounds out, second baseman Jermaine Palacios to first baseman Luis Arraez.","R","L","R","DET","MIN","X",4,"ground_ball",1,1,2022,"-1.35","0.2","-0.87","1.85",,,606992,2,8,"Bot",152.72,150.64,,,596142,,,6.4646607865340115,-127.88834185544887,-1.835975467206329,-16.09202138918832,23.14166304018841,-29.84139852849383,"3.41","1.61",37,"90",0,"88.8",1588,"6.6",662770,678692,596142,650333,650339,570482,621043,624503,665482,676628,"53.9",0.271,0.244,"0",1,0,0,2,68,3,"Changeup",3,2,3,2,2,3,3,2,"Standard","Standard",248,"-0.014","-0.209"
"CH","2022-10-01","85.2","-2.38","4.99","Henriquez, Ronny",605612,678692,,"foul",,,,,13,"Harold Castro grounds out, second baseman Jermaine Palacios to first baseman Luis Arraez.","R","L","R","DET","MIN","S",,,1,0,2022,"-1.86","0.89","-1.43","1.43",,,606992,2,8,"Bot",,,,,596142,,,5.981693348299242,-123.84154968246854,-3.812057999648358,-20.313819281916444,25.676602170327328,-22.503215582127517,"3.41","1.61",135,"64.1",23,"85.2",1668,"6.4",662770,678692,596142,650333,650339,570482,621043,624503,665482,676628,"54.07",,,,,,,,68,2,"Changeup",3,2,3,2,2,3,3,2,"Standard","Standard",243,"0","-0.041"
"CH","2022-10-01","87.2","-2.33","5.09","Henriquez, Ronny",605612,678692,,"ball",,,,,13,"Harold Castro grounds out, second baseman Jermaine Palacios to first baseman Luis Arraez.","R","L","R","DET","MIN","B",,,0,0,2022,"-1.58","0.99","-1.6","2.31",,,606992,2,8,"Bot",,,,,596142,,,5.006526134377145,-127.08235970395125,-2.6551619323719606,-18.21435628940148,22.53889383949518,-21.058992850939326,"3.41","1.66",,,,"88",1658,"6.4",662770,678692,596142,650333,650339,570482,621043,624503,665482,676628,"54.1",,,,,,,,68,1,"Changeup",3,2,3,2,2,3,3,2,"Standard","Standard",248,"0","0.032"
"SL","2022-10-01","85.6","-2","5.35","Henriquez, Ronny",606992,678692,"single","hit_into_play",,,,,6,"Eric Haase singles on a ground ball to left fielder Nick Gordon.","R","R","R","DET","MIN","X",7,"ground_ball",0,1,2022,"0.32","0.27","0.41","2.41",,,,2,8,"Bot",81.68,110.47,,,596142,,,5.070972464311166,-124.71597488358944,-1.2506333868545674,2.3717763168913826,23.704783741591207,-29.3249404980889,"3.15","1.46",89,"96.2",5,"86.2",2594,"6.5",662770,678692,596142,650333,650339,570482,621043,624503,665482,676628,"54.04",0.509,0.495,"0.9",1,1,0,4,67,2,"Slider",3,2,3,2,2,3,3,2,"Infield shift","Standard",95,"0.007","0.134"
"FF","2022-10-01","94.4","-1.75","5.3","Henriquez, Ronny",606992,678692,,"called_strike",,,,,12,"Eric Haase singles on a ground ball to left fielder Nick Gordon.","R","R","R","DET","MIN","S",,,0,0,2022,"-0.81","1.44","0.12","3.35",,,,2,8,"Bot",,,,,596142,,,6.694497043314537,-137.32634483088074,-2.587009733319541,-11.802399263622934,30.85562261367994,-13.610892961960174,"3.11","1.45",,,,"94.7",2425,"6.5",662770,678692,596142,650333,650339,570482,621043,624503,665482,676628,"53.99",,,,,,,,67,1,"4-Seam Fastball",3,2,3,2,2,3,3,2,"Infield shift","Standard",217,"0","-0.017"
"SL","2022-10-01","87.3","-2.17","5.25","Henriquez, Ronny",595879,678692,"field_out","hit_into_play",,,,,5,"Javier Baez pops out to shortstop Carlos Correa.","R","R","R","DET","MIN","X",6,"popup",0,0,2022,"-0.01","0.47","0.24","2.4",,,,1,8,"Bot",95.84,126.76,,,596142,,,5.882132535817036,-127.19348157444014,-1.7924738550365884,-1.206522978225799,23.049710575978008,-26.848223608503417,"3.35","1.56",196,"88.8",57,"88.4",2528,"6.7",662770,678692,596142,650333,650339,570482,621043,624503,665482,676628,"53.84",0.011,0.011,"0",1,0,0,3,66,1,"Slider",3,2,3,2,2,3,3,2,"Standard","Standard",156,"-0.009","-0.156"
"CH","2022-10-01","89.1","-2.43","5.02","Henriquez, Ronny",682985,678692,"field_out","hit_into_play",,,,,11,"Riley Greene grounds out, first baseman Luis Arraez to pitcher Ronny Henriquez.","R","L","R","DET","MIN","X",3,"ground_ball",3,2,2022,"-1.32","0.69","-1","3.05",,,,0,8,"Bot",157.29,167.42,,,596142,,,6.299954682882697,-129.65879678909369,-0.3187835987150103,-16.20536470363974,24.854242435899774,-24.462842100962362,"3.34","1.6",1,"73.6",-66,"89.5",1612,"6.4",662770,678692,596142,650333,650339,570482,621043,624503,665482,676628,"54.13",0.26,0.238,"0",1,0,0,2,65,7,"Changeup",3,2,3,2,2,3,3,2,"Standard","Standard",246,"-0.013","-0.299"
"CH","2022-10-01","89","-2.39","5.03","Henriquez, Ronny",682985,678692,,"ball",,,,,11,"Riley Greene grounds out, first baseman Luis Arraez to pitcher Ronny Henriquez.","R","L","R","DET","MIN","B",,,2,2,2022,"-1.33","0.53","-2.05","3.28",,,,0,8,"Bot",,,,,596142,,,3.628818396787217,-129.6490828901358,0.5558905386514342,-15.818291277873765,24.814830653806688,-26.415897238943884,"3.37","1.62",,,,"89.7",1513,"6.5",662770,678692,596142,650333,650339,570482,621043,624503,665482,676628,"54.02",,,,,,,,65,6,"Changeup",3,2,3,2,2,3,3,2,"Standard","Standard",248,"0","0.103"
"SL","2022-10-01","83.9","-1.97","5.26","Henriquez, Ronny",682985,678692,,"ball",,,,,14,"Riley Greene grounds out, first baseman Luis Arraez to pitcher Ronny Henriquez.","R","L","R","DET","MIN","B",,,1,2,2022,"-0.12","0.27","0.99","-0.04",,,,0,8,"Bot",,,,,596142,,,7.1132024310268305,-121.93648115585563,-6.422135662381072,-2.497979947317948,22.829629172459633,-28.408393974760052,"3.25","1.64",,,,"84.4",2462,"6.6",662770,678692,596142,650333,650339,570482,621043,624503,665482,676628,"53.93",,,,,,,,65,5,"Slider",3,2,3,2,2,3,3,2,"Standard","Standard",152,"0","0.037"
"CH","2022-10-01","88.6","-2.36","4.97","Henriquez, Ronny",682985,678692,,"foul",,,,,13,"Riley Greene grounds out, first baseman Luis Arraez to pitcher Ronny Henriquez.","R","L","R","DET","MIN","S",,,1,2,2022,"-1.29","0.27","-1.17","1.94",,,,0,8,"Bot",,,,,596142,,,5.622287871427826,-129.03998624573498,-1.9708791118072555,-15.533500500777931,23.55940208055466,-28.97086613806169,"3.34","1.6",213,"72.5",34,"89.4",1557,"6.5",662770,678692,596142,650333,650339,570482,621043,624503,665482,676628,"54.01",,,,,,,,65,4,"Changeup",3,2,3,2,2,3,3,2,"Standard","Standard",251,"0","0"
