"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2022-06-09","91.7","-1.51","5.83","Strasburg, Stephen",660821,544931,"home_run","hit_into_play",,,,,9,"Jesus Sanchez homers (8) on a fly ball to right center field.    Avisail Garcia scores.","R","L","R","MIA","WSH","X",,"fly_ball",2,2,2022,"-0.61","1.14","0.51","1.71",,541645,,2,5,"Bot",198.77,46.09,,,656180,,,6.55699144089016,-133.28313019714037,-7.08199945837745,-8.735274803435722,30.05020036862968,-17.269135718896248,"3.41","1.61",417,"108.1",23,"93",1901,"7.3",661149,544931,656180,605137,501303,596748,671277,657041,645302,665742,"53.24",0.926,1.751,"2",1,0,3,6,45,5,"4-Seam Fastball",5,2,5,2,2,7,7,2,"Infield shift","Standard",215,"0.074","1.838"
"FF","2022-06-09","91.2","-1.82","5.87","Strasburg, Stephen",660821,544931,,"ball",,,,,12,"Jesus Sanchez homers (8) on a fly ball to right center field.    Avisail Garcia scores.","R","L","R","MIA","WSH","B",,,1,2,2022,"-0.25","1.32","0.85","4.78",,541645,,2,5,"Bot",,,,,656180,,,7.385715506812322,-132.6952747843586,0.3233193052272674,-4.486759597819865,28.264369808650486,-16.824639370567166,"3.47","1.68",,,,"92.9",2047,"7.3",661149,544931,656180,605137,501303,596748,671277,657041,645302,665742,"53.22",,,,,,,,45,4,"4-Seam Fastball",5,2,5,2,2,5,5,2,"Infield shift","Standard",209,"0","0.029"
"FF","2022-06-09","90.8","-1.7","5.84","Strasburg, Stephen",660821,544931,,"foul",,,,,5,"Jesus Sanchez homers (8) on a fly ball to right center field.    Avisail Garcia scores.","R","L","R","MIA","WSH","S",,,1,1,2022,"-0.38","1.21","-0.09","2.63",,541645,,2,5,"Bot",,,,,656180,,,4.931830217576382,-132.03970714593274,-4.760013394329693,-5.556068504508017,29.824122476383813,-17.19970294590879,"3.41","1.61",185,"69",53,"92",1902,"7.2",661149,544931,656180,605137,501303,596748,671277,657041,645302,665742,"53.29",,,,,,,,45,3,"4-Seam Fastball",5,2,5,2,2,5,5,2,"Infield shift","Standard",220,"0","-0.067"
"CU","2022-06-09","77.3","-1.72","5.97","Strasburg, Stephen",660821,544931,,"called_strike",,,,,7,"Jesus Sanchez homers (8) on a fly ball to right center field.    Avisail Garcia scores.","R","L","R","MIA","WSH","S",,,1,0,2022,"1.31","-0.95","-0.28","1.97",,541645,,2,5,"Bot",,,,,656180,,,0.6798662586726893,-112.55143617536349,0.26746507906015293,10.83536257842608,23.41541119761526,-40.43699246273929,"3.39","1.58",,,,"77.6",2632,"6.8",661149,544931,656180,605137,501303,596748,671277,657041,645302,665742,"53.67",,,,,,,,45,2,"Curveball",5,2,5,2,2,5,5,2,"Infield shift","Standard",51,"0","-0.053"
"FF","2022-06-09","89.5","-1.72","5.94","Strasburg, Stephen",660821,544931,,"ball",,,,,12,"Jesus Sanchez homers (8) on a fly ball to right center field.    Avisail Garcia scores.","R","L","R","MIA","WSH","B",,,0,0,2022,"-0.35","1.39","0.86","4.18",,541645,,2,5,"Bot",,,,,656180,,,7.215981445740188,-130.1116856377568,-1.2556538701887008,-5.545928150363383,28.2269738926294,-16.386470069850596,"3.41","1.61",,,,"90.8",2076,"7.2",661149,544931,656180,605137,501303,596748,671277,657041,645302,665742,"53.29",,,,,,,,45,1,"4-Seam Fastball",5,2,5,2,2,5,5,2,"Infield shift","Standard",208,"0","0.037"
"CU","2022-06-09","76.7","-1.61","5.97","Strasburg, Stephen",541645,544931,"double","hit_into_play",,,,,6,"Avisail Garcia doubles (4) on a line drive to center fielder Victor Robles.  Jesus Aguilar out at home on the throw, center fielder Victor Robles to shortstop Luis Garcia to catcher Riley Adams.","R","R","R","MIA","WSH","X",8,"line_drive",0,1,2022,"1.54","-0.68","0.46","2.33",,,542583,1,5,"Bot",78.81,38.8,,,656180,,,1.60702996102422,-111.67344056111432,0.6467844024657106,12.458725765268394,22.889815659718117,-38.144892460464376,"3.45","1.74",374,"98.5",23,"77.3",2627,"7",661149,544931,656180,605137,501303,596748,671277,657041,645302,665742,"53.49",0.4,0.566,"1.25",1,1,1,5,44,2,"Curveball",5,2,5,2,2,5,5,2,"Standard","Standard",58,"-0.006","0.953"
"CU","2022-06-09","77.2","-1.75","6.04","Strasburg, Stephen",541645,544931,,"foul",,,,,8,"Avisail Garcia doubles (4) on a line drive to center fielder Victor Robles.  Jesus Aguilar out at home on the throw, center fielder Victor Robles to shortstop Luis Garcia to catcher Riley Adams.","R","R","R","MIA","WSH","S",,,0,0,2022,"1.11","-1.03","-0.02","2.13",,,542583,1,5,"Bot",,,,,656180,,,1.6756743149722388,-112.35053768568496,0.6716819823846525,8.876616862630325,24.135341051599376,-41.17059595273681,"3.45","1.74",3,"69.8",-34,"77.7",2590,"7.1",661149,544931,656180,605137,501303,596748,671277,657041,645302,665742,"53.42",,,,,,,,44,1,"Curveball",5,2,5,2,2,5,5,2,"Standard","Standard",60,"0","-0.048"
"CH","2022-06-09","85.9","-1.51","5.97","Strasburg, Stephen",542583,544931,"single","hit_into_play",,,,,9,"Jesus Aguilar singles on a line drive to center fielder Victor Robles.   Garrett Cooper scores.","R","R","R","MIA","WSH","X",8,"line_drive",2,2,2022,"-1.13","0.04","0.75","1.73",643265,,,1,5,"Bot",112.17,88.79,,,656180,,,7.727964507310478,-124.74811871810341,-3.779725311759825,-13.47102848484681,28.30355014815119,-31.15217604392926,"3.54","1.75",204,"80.8",15,"86.4",1361,"7",661149,544931,656180,605137,501303,596748,671277,657041,645302,665742,"53.5",0.803,0.753,"0.9",1,1,0,4,43,5,"Changeup",4,2,4,2,2,5,5,2,"Strategic","Standard",235,"0.036","0.665"
"FF","2022-06-09","90.8","-1.56","6.08","Strasburg, Stephen",542583,544931,,"ball",,,,,12,"Jesus Aguilar singles on a line drive to center fielder Victor Robles.   Garrett Cooper scores.","R","R","R","MIA","WSH","B",,,1,2,2022,"-0.4","1.46","0.03","5.3",643265,,,1,5,"Bot",,,,,656180,,,4.904112460264297,-132.08117768214322,0.908932125242536,-5.7967537393929325,30.439092379493015,-15.664885799063452,"3.55","1.73",,,,"91.7",1957,"7",661149,544931,656180,605137,501303,596748,671277,657041,645302,665742,"53.49",,,,,,,,43,4,"4-Seam Fastball",4,2,4,2,2,4,4,2,"Strategic","Standard",211,"0","0.058"
"CU","2022-06-09","78.8","-1.81","5.99","Strasburg, Stephen",542583,544931,,"ball",,,,,14,"Jesus Aguilar singles on a line drive to center fielder Victor Robles.   Garrett Cooper scores.","R","R","R","MIA","WSH","B",,,0,2,2022,"1.29","-0.64","1.88","0.76",,643265,,1,5,"Bot",,,,,656180,,,5.673443762322666,-114.55355900742458,-3.3118429513795977,10.134271843006019,23.246961057158295,-37.30783562617704,"3.47","1.69",,,,"79.4",2615,"7",661149,544931,656180,605137,501303,596748,671277,657041,645302,665742,"53.53",,,,,,,,43,3,"Curveball",4,2,4,2,2,4,4,2,"Standard","Standard",56,"0.023","0.018"
