"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SL","2022-10-05","81.9","-2.52","5.27","Hollowell, Gavin",666158,668970,"field_out","hit_into_play",,,,,14,"Gavin Lux pops out to shortstop Ezequiel Tovar.","R","L","R","LAD","COL","X",6,"popup",1,2,2022,"1.64","-0.04","0.28","1.31",,,,2,6,"Bot",133.84,130.81,,,661531,,,3.1851267267285523,-119.15902419869498,-2.2715588242894906,14.858543624898667,25.138195284693776,-32.26820942246881,"3.29","1.61",175,"68.3",51,"82.8",2422,"7.1",662623,668970,661531,669911,663898,641857,678662,656248,641658,545341,"53.4",0.134,0.122,"0",1,0,0,3,46,5,"Slider",4,1,4,1,1,4,4,1,"Strategic","Standard",73,"-0.003","-0.07"
"FC","2022-10-05","89.4","-2.68","4.94","Hollowell, Gavin",666158,668970,,"foul",,,,,6,"Gavin Lux pops out to shortstop Ezequiel Tovar.","R","L","R","LAD","COL","S",,,1,2,2022,"0.08","0.85","0.52","2.31",,,,2,6,"Bot",,,,,661531,,,7.815772002624266,-130.0012031511952,-2.2998257768622485,-0.6782949971876805,25.93291164824362,-22.199125895688887,"3.29","1.61",5,"72.6",-25,"90.5",2402,"6.9",662623,668970,661531,669911,663898,641857,678662,656248,641658,545341,"53.59",,,,,,,,46,4,"Cutter",4,1,4,1,1,4,4,1,"Strategic","Standard",215,"0","0"
"SL","2022-10-05","81.5","-2.72","4.99","Hollowell, Gavin",666158,668970,,"called_strike",,,,,7,"Gavin Lux pops out to shortstop Ezequiel Tovar.","R","L","R","LAD","COL","S",,,1,1,2022,"1.31","0.16","-0.81","2.06",,,,2,6,"Bot",,,,,661531,,,1.781518331434898,-118.76629032592052,-0.30291382610463,12.001414842845884,23.247069842529314,-30.838584961550215,"3.33","1.57",,,,"82.3",2455,"6.8",662623,668970,661531,669911,663898,641857,678662,656248,641658,545341,"53.67",,,,,,,,46,3,"Slider",4,1,4,1,1,4,4,1,"Standard","Standard",73,"0","-0.023"
"FF","2022-10-05","93.5","-2.24","5.65","Hollowell, Gavin",666158,668970,,"ball",,,,,9,"Gavin Lux pops out to shortstop Ezequiel Tovar.","R","L","R","LAD","COL","B",,,0,1,2022,"-0.42","1.23","0.63","1.57",,,,2,6,"Bot",,,,,661531,,,8.416501618532077,-135.82199409407946,-7.611672971415675,-6.913825570280688,26.38778490332448,-15.468184690624465,"3.33","1.63",,,,"95",2688,"7",662623,668970,661531,669911,663898,641857,678662,656248,641658,545341,"53.49",,,,,,,,46,2,"4-Seam Fastball",4,1,4,1,1,4,4,1,"Standard","Standard",219,"0","0.011"
"CH","2022-10-05","84.5","-2.4","5.16","Hollowell, Gavin",666158,668970,,"called_strike",,,,,9,"Gavin Lux pops out to shortstop Ezequiel Tovar.","R","L","R","LAD","COL","S",,,0,0,2022,"-1.34","0.67","0.69","2.11",,,,2,6,"Bot",,,,,661531,,,10.06108634657344,-122.79497654949137,-2.1510471350951907,-15.458702086858171,21.529178020257373,-25.122809015110704,"3.35","1.62",,,,"86.4",2348,"7.3",662623,668970,661531,669911,663898,641857,678662,656248,641658,545341,"53.19",,,,,,,,46,1,"Changeup",4,1,4,1,1,4,4,1,"Standard","Standard",236,"0","-0.017"
"SL","2022-10-05","82.1","-2.2","5.4","Hollowell, Gavin",457759,668970,"field_out","hit_into_play",,,,,14,"Justin Turner grounds out, first baseman Michael Toglia to pitcher Gavin Hollowell.","R","R","R","LAD","COL","X",3,"ground_ball",0,2,2022,"1.31","-0.19","1.19","1.8",,,,1,6,"Bot",149.69,160.4,,,661531,,,5.204968482745473,-119.53061324242708,-1.202685483003483,11.44411063672475,24.509969463924698,-33.96733460575884,"3.45","1.56",26,"65.1",-1,"83.3",2412,"7.2",662623,668970,661531,669911,663898,641857,678662,656248,641658,545341,"53.33",0.114,0.103,"0",1,0,0,2,45,4,"Slider",4,1,4,1,1,4,4,1,"Strategic","Standard",59,"-0.006","-0.1"
"SL","2022-10-05","82.5","-2.2","5.49","Hollowell, Gavin",457759,668970,,"foul",,,,,12,"Justin Turner grounds out, first baseman Michael Toglia to pitcher Gavin Hollowell.","R","R","R","LAD","COL","S",,,0,2,2022,"1.18","-0.14","1.17","2.8",,,,1,6,"Bot",,,,,661531,,,5.432024225908505,-120.12915378163464,0.6350521269702893,10.44208275777669,22.33435937262193,-33.8308388698191,"3.45","1.56",250,"79.4",44,"83.6",2387,"6.9",662623,668970,661531,669911,663898,641857,678662,656248,641658,545341,"53.61",,,,,,,,45,3,"Slider",4,1,4,1,1,4,4,1,"Strategic","Standard",72,"0","0"
"SL","2022-10-05","83.5","-2.43","5.14","Hollowell, Gavin",457759,668970,,"swinging_strike",,,,,12,"Justin Turner grounds out, first baseman Michael Toglia to pitcher Gavin Hollowell.","R","R","R","LAD","COL","S",,,0,1,2022,"0.89","0.3","1.35","2.54",,,,1,6,"Bot",,,,,661531,,,7.055519249871514,-121.51079251073286,-0.2012249362317282,7.726583963171153,20.58848447378188,-29.32155423040777,"3.45","1.56",,,,"85.4",2342,"7.2",662623,668970,661531,669911,663898,641857,678662,656248,641658,545341,"53.29",,,,,,,,45,2,"Slider",4,1,4,1,1,4,4,1,"Strategic","Standard",76,"0","-0.031"
"FC","2022-10-05","90","-2.39","5.34","Hollowell, Gavin",457759,668970,,"foul",,,,,6,"Justin Turner grounds out, first baseman Michael Toglia to pitcher Gavin Hollowell.","R","R","R","LAD","COL","S",,,0,0,2022,"-0.01","0.91","0.52","2.56",,,,1,6,"Bot",,,,,661531,,,7.362161350123725,-131.0909892019527,-3.013652753046239,-1.3639269089108044,22.714139499702537,-21.20229230132768,"3.45","1.56",237,"87.9",55,"92.2",2587,"7.1",662623,668970,661531,669911,663898,641857,678662,656248,641658,545341,"53.37",,,,,,,,45,1,"Cutter",4,1,4,1,1,4,4,1,"Standard","Standard",200,"0","-0.024"
"FF","2022-10-05","94.2","-2.49","5.36","Hollowell, Gavin",571970,668970,"strikeout","swinging_strike",,,,,6,"Max Muncy strikes out swinging.","R","L","R","LAD","COL","S",2,,3,2,2022,"-0.72","1.34","0.41","2.49",,,,0,6,"Bot",,,,,661531,,,9.251072802984035,-136.88396561537138,-4.82204038151837,-11.005368740921643,27.061285676767227,-14.434176211152062,"3.12","1.53",,,,"95.8",2703,"7.1",662623,668970,661531,669911,663898,641857,678662,656248,641658,545341,"53.44",,,"0",1,0,0,,44,7,"4-Seam Fastball",4,1,4,1,1,4,4,1,"Infield shift","Standard",222,"-0.007","-0.299"
