"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SL","2022-09-22","85.9","-1.33","5.76","Moreta, Dauri",592885,664294,"walk","ball",,,,,11,"Christian Yelich walks.","R","L","R","CIN","MIL","B",,,3,2,2022,"-0.68","0.33","-0.18","3.47",,,,2,7,"Top",,,,,519222,,,4.050246964045974,-125.14617964896392,0.06591453404621073,-7.98897449037235,22.88745877288477,-28.85226704557813,"3.28","1.68",,,,"85.4",2076,"5.7",661069,664294,519222,456781,664670,608703,571657,670770,672279,641584,"54.84",,,"0.7",1,0,0,,50,7,"Slider",1,4,4,1,4,1,4,1,"Infield shift","Standard",245,"-0.005","0.101"
"FF","2022-09-22","95.5","-0.81","5.96","Moreta, Dauri",592885,664294,,"foul",,,,,12,"Christian Yelich walks.","R","L","R","CIN","MIL","S",,,3,2,2022,"-1.05","1.45","0","3.76",,,,2,7,"Top",,,,,519222,,,4.4759012684476716,-139.02729163278582,-3.4454362253415143,-14.648765901407781,30.19974603383618,-12.717958874466664,"3.31","1.65",297,"86",30,"95.2",2322,"6",661069,664294,519222,456781,664670,608703,571657,670770,672279,641584,"54.46",,,,,,,,50,6,"4-Seam Fastball",1,4,4,1,4,1,4,1,"Infield shift","Standard",215,"0","0"
"SL","2022-09-22","86.9","-1.14","5.75","Moreta, Dauri",592885,664294,,"ball",,,,,14,"Christian Yelich walks.","R","L","R","CIN","MIL","B",,,2,2,2022,"-0.99","0.26","1.77","0.96",,,,2,7,"Top",,,,,519222,,,8.915146940477674,-126.29260375739601,-5.898313685017427,-12.180234839449543,21.16176213449858,-28.482978311072408,"3.26","1.65",,,,"86.9",2069,"6",661069,664294,519222,456781,664670,608703,571657,670770,672279,641584,"54.51",,,,,,,,50,5,"Slider",1,4,4,1,4,1,4,1,"Infield shift","Standard",268,"0","0.033"
"CH","2022-09-22","85.3","-0.97","5.72","Moreta, Dauri",592885,664294,,"foul",,,,,9,"Christian Yelich walks.","R","L","R","CIN","MIL","S",,,2,1,2022,"-1.32","1.11","0.44","1.92",,,,2,7,"Top",,,,,519222,,,5.975450691020064,-124.11891814713208,-4.935248481395061,-14.834988329526496,22.639839349396667,-19.90059995103269,"3.31","1.65",7,"75.1",-16,"85.7",1647,"6.4",661069,664294,519222,456781,664670,608703,571657,670770,672279,641584,"54.14",,,,,,,,50,4,"Changeup",1,4,4,1,4,1,4,1,"Infield shift","Standard",224,"0","-0.031"
"CH","2022-09-22","86.5","-1.15","5.82","Moreta, Dauri",592885,664294,,"ball",,,,,11,"Christian Yelich walks.","R","L","R","CIN","MIL","B",,,1,1,2022,"-1.36","1.03","-1.06","2.86",,,,2,7,"Top",,,,,519222,,,2.986422163303739,-126.00653051792992,-2.9788393562471356,-15.088957066705758,25.425716628148493,-20.76463777557557,"3.34","1.68",,,,"86.3",1664,"6.1",661069,664294,519222,456781,664670,608703,571657,670770,672279,641584,"54.42",,,,,,,,50,3,"Changeup",1,4,4,1,4,1,4,1,"Infield shift","Standard",228,"0","0.021"
"CH","2022-09-22","86.3","-1.11","5.83","Moreta, Dauri",592885,664294,,"foul",,,,,6,"Christian Yelich walks.","R","L","R","CIN","MIL","S",,,1,0,2022,"-1.1","1.35","0.46","2.75",,,,2,7,"Top",,,,,519222,,,5.956595470069438,-125.64808919707416,-3.8768117191441593,-12.861564026461643,23.86156488121139,-17.216874434996484,"3.31","1.65",159,"74.9",69,"86.2",1682,"6",661069,664294,519222,456781,664670,608703,571657,670770,672279,641584,"54.47",,,,,,,,50,2,"Changeup",1,4,4,1,4,1,4,1,"Infield shift","Standard",222,"0","-0.021"
"FF","2022-09-22","95.9","-1.03","6.01","Moreta, Dauri",592885,664294,,"ball",,,,,11,"Christian Yelich walks.","R","L","R","CIN","MIL","B",,,0,0,2022,"-1.07","1.29","-1.06","3.24",,,,2,7,"Top",,,,,519222,,,2.326862820485341,-139.572745797848,-4.584884907117222,-14.460891256979938,33.46927957621652,-14.486109911590688,"3.39","1.78",,,,"95.2",2249,"6",661069,664294,519222,456781,664670,608703,571657,670770,672279,641584,"54.48",,,,,,,,50,1,"4-Seam Fastball",1,4,4,1,4,1,4,1,"Infield shift","Standard",211,"0","0.015"
"CH","2022-09-22","87.8","-1.04","5.86","Moreta, Dauri",621438,664294,"field_out","hit_into_play",,,,,8,"Tyrone Taylor flies out to center fielder Mike Siani.","R","R","R","CIN","MIL","X",8,"fly_ball",0,1,2022,"-1.15","1.3","0","2.03",,,,1,7,"Top",146.92,53.44,,,519222,,,4.841700117023001,-127.70975168010827,-5.796864886974691,-13.55356664823378,25.40263018698184,-16.955718842618353,"3.41","1.6",364,"98.1",35,"87.3",1675,"5.9",661069,664294,519222,456781,664670,608703,571657,670770,672279,641584,"54.58",0.211,0.401,"0",1,0,0,5,49,2,"Changeup",1,4,4,1,4,1,4,1,"Standard","Standard",220,"0.006","-0.132"
"FF","2022-09-22","95.2","-0.8","6.07","Moreta, Dauri",621438,664294,,"foul",,,,,5,"Tyrone Taylor flies out to center fielder Mike Siani.","R","R","R","CIN","MIL","S",,,0,0,2022,"-0.93","1.45","-0.21","2.79",,,,1,7,"Top",,,,,519222,,,3.5919933523536227,-138.43710394786993,-6.088056533652365,-12.757509725962407,35.210003856449354,-12.454173226739687,"3.41","1.6",229,"70.3",44,"93.9",2335,"5.9",661069,664294,519222,456781,664670,608703,571657,670770,672279,641584,"54.61",,,,,,,,49,1,"4-Seam Fastball",1,4,4,1,4,1,4,1,"Standard","Standard",215,"0","-0.024"
"CH","2022-09-22","86.1","-1.25","5.8","Moreta, Dauri",553882,664294,"field_out","hit_into_play",,,,,14,"Omar Narvaez lines out to right fielder Jake Fraley.","R","L","R","CIN","MIL","X",9,"line_drive",3,2,2022,"-1.27","1.23","0.05","1.16",,,,0,7,"Top",159.07,89.17,,,519222,,,5.652955550803309,-125.11322948106222,-7.200087853199182,-14.5318398431741,27.23730650564106,-17.92106122128502,"3.32","1.5",285,"83.4",25,"85.6",1723,"6.2",661069,664294,519222,456781,664670,608703,571657,670770,672279,641584,"54.28",0.237,0.222,"0",1,0,0,3,48,7,"Changeup",1,4,4,1,4,1,4,1,"Infield shift","Standard",225,"0.009","-0.299"
"CH","2022-09-22","86.2","-1.06","5.8","Moreta, Dauri",553882,664294,,"ball",,,,,14,"Omar Narvaez lines out to right fielder Jake Fraley.","R","L","R","CIN","MIL","B",,,2,2,2022,"-1.39","1.06","0.8","0.98",,,,0,7,"Top",,,,,519222,,,7.206255092363479,-125.17328263371039,-7.299153687761632,-16.0852004804052,26.645246517814293,-19.73377372681163,"3.37","1.55",,,,"85.8",1701,"6.3",661069,664294,519222,456781,664670,608703,571657,670770,672279,641584,"54.24",,,,,,,,48,6,"Changeup",1,4,4,1,4,1,4,1,"Infield shift","Standard",227,"0","0.103"
"FF","2022-09-22","94.9","-0.83","6.04","Moreta, Dauri",553882,664294,,"ball",,,,,12,"Omar Narvaez lines out to right fielder Jake Fraley.","R","L","R","CIN","MIL","B",,,1,2,2022,"-1.12","1.52","1.11","4.06",,,,0,7,"Top",,,,,519222,,,7.503370885863162,-137.89110399559235,-2.7683211583524265,-16.14607634084625,37.179015271998914,-12.612580443895373,"3.42","1.63",,,,"93.1",2290,"5.8",661069,664294,519222,456781,664670,608703,571657,670770,672279,641584,"54.69",,,,,,,,48,5,"4-Seam Fastball",1,4,4,1,4,1,4,1,"Infield shift","Standard",217,"0","0.037"
"CH","2022-09-22","87.6","-1.07","5.79","Moreta, Dauri",553882,664294,,"foul",,,,,9,"Omar Narvaez lines out to right fielder Jake Fraley.","R","L","R","CIN","MIL","S",,,1,2,2022,"-1.3","1.04","0.6","1.87",,,,0,7,"Top",,,,,519222,,,6.658405439875984,-127.22707905429911,-5.386574617633813,-15.485976732258267,27.83145255021402,-19.905958273830464,"3.32","1.5",21,"82.5",-4,"86.7",1848,"6",661069,664294,519222,456781,664670,608703,571657,670770,672279,641584,"54.54",,,,,,,,48,4,"Changeup",1,4,4,1,4,1,4,1,"Infield shift","Standard",225,"0","0"
"SL","2022-09-22","86.5","-1.2","5.84","Moreta, Dauri",553882,664294,,"ball",,,,,14,"Omar Narvaez lines out to right fielder Jake Fraley.","R","L","R","CIN","MIL","B",,,0,2,2022,"-1.34","0.26","1.8","0.52",,,,0,7,"Top",,,,,519222,,,9.78192673494205,-125.40426850592594,-6.828491715807967,-16.236491475230704,28.31098693288735,-28.080295884618284,"3.27","1.5",,,,"85.2",2166,"5.9",661069,664294,519222,456781,664670,608703,571657,670770,672279,641584,"54.6",,,,,,,,48,3,"Slider",1,4,4,1,4,1,4,1,"Infield shift","Standard",263,"0","0.017"
"CH","2022-09-22","86.7","-1.28","5.92","Moreta, Dauri",553882,664294,,"swinging_strike",,,,,13,"Omar Narvaez lines out to right fielder Jake Fraley.","R","L","R","CIN","MIL","S",,,0,1,2022,"-1.32","1.32","-1.09","2.39",,,,0,7,"Top",,,,,519222,,,3.1174619514877993,-126.10379358488605,-4.87928432820633,-14.694528194062096,27.18019906494366,-17.35564062842465,"3.32","1.5",,,,"85.9",1741,"5.9",661069,664294,519222,456781,664670,608703,571657,670770,672279,641584,"54.58",,,,,,,,48,2,"Changeup",1,4,4,1,4,1,4,1,"Infield shift","Standard",222,"0","-0.046"
"FF","2022-09-22","94","-0.87","6.03","Moreta, Dauri",553882,664294,,"called_strike",,,,,3,"Omar Narvaez lines out to right fielder Jake Fraley.","R","L","R","CIN","MIL","S",,,0,0,2022,"-1.08","1.53","0.49","3",,,,0,7,"Top",,,,,519222,,,5.880187012619784,-136.76224150837763,-5.492615595026322,-14.794284746317388,29.994644747052277,-12.003069594292935,"3.42","1.6",,,,"93.4",2254,"5.9",661069,664294,519222,456781,664670,608703,571657,670770,672279,641584,"54.58",,,,,,,,48,1,"4-Seam Fastball",1,4,4,1,4,1,4,1,"Infield shift","Standard",217,"0","-0.034"
"FF","2022-09-22","96.2","-0.85","5.95","Moreta, Dauri",607054,664294,"field_out","hit_into_play",,,,,12,"Jace Peterson pops out to first baseman Donovan Solano.","R","L","R","CIN","MIL","X",3,"popup",3,2,2022,"-0.75","1.6","0.25","3.61",,,,2,6,"Top",142.48,181.52,,,519222,,,4.630449779320022,-139.94247576047445,-4.231073254904958,-10.969762046434624,32.84945386858134,-10.454855557443576,"3.1","1.4",76,"86.2",73,"95.9",2374,"6.2",661069,664294,519222,456781,664670,608703,571657,670770,672279,641584,"54.27",0.006,0.005,"0",1,0,0,3,43,8,"4-Seam Fastball",0,4,4,0,4,0,4,0,"Infield shift","Standard",214,"0.003","-0.116"
"SL","2022-09-22","86","-1.27","5.86","Moreta, Dauri",607054,664294,,"ball",,,,,14,"Jace Peterson pops out to first baseman Donovan Solano.","R","L","R","CIN","MIL","B",,,2,2,2022,"-0.59","0.37","1.08","2.28",,,,2,6,"Top",,,,,519222,,,6.709274913188239,-125.03187888871322,-2.97822235119179,-7.532315806820202,25.0212481903133,-27.88537924311169,"3.15","1.45",,,,"85.5",2175,"6",661069,664294,519222,456781,664670,608703,571657,670770,672279,641584,"54.5",,,,,,,,43,7,"Slider",0,4,4,0,4,0,4,0,"Infield shift","Standard",259,"0","0.033"
"CH","2022-09-22","87.3","-1.01","5.8","Moreta, Dauri",607054,664294,,"ball",,,,,14,"Jace Peterson pops out to first baseman Donovan Solano.","R","L","R","CIN","MIL","B",,,1,2,2022,"-1.39","0.91","0.14","0.56",,,,2,6,"Top",,,,,519222,,,5.5983482379589855,-126.8720013315406,-8.326474547866928,-16.153055829081627,24.222443743670162,-20.911408598923778,"3.07","1.43",,,,"87.2",1853,"6.1",661069,664294,519222,456781,664670,608703,571657,670770,672279,641584,"54.38",,,,,,,,43,6,"Changeup",0,4,4,0,4,0,4,0,"Infield shift","Standard",222,"0","0.014"
"CH","2022-09-22","86","-1.25","5.83","Moreta, Dauri",607054,664294,,"foul",,,,,11,"Jace Peterson pops out to first baseman Donovan Solano.","R","L","R","CIN","MIL","S",,,1,2,2022,"-1.33","1.07","-1.38","2.51",,,,2,6,"Top",,,,,519222,,,2.3682372242103966,-125.28997402925266,-3.7747536138633824,-14.46623708487296,25.54595586253403,-20.402467755781483,"3.1","1.4",155,"59.5",51,"85.6",1693,"6",661069,664294,519222,456781,664670,608703,571657,670770,672279,641584,"54.51",,,,,,,,43,5,"Changeup",0,4,4,0,4,0,4,0,"Infield shift","Standard",221,"0","0"
