"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FA","2022-09-19","68.9","-1.81","5.98","McKenna, Ryan",668731,663630,"field_out","hit_into_play",,,,,2,"Akil Baddoo flies out to left fielder Terrin Vavra.","R","L","R","BAL","DET","X",7,"fly_ball",1,1,2022,"-0.4","1.14","-0.15","3.18",,,571466,2,9,"Top",88.21,79.51,,,668939,,,3.6673434215601226,-100.28771129222253,0.5550066073477615,-3.2988568374881475,15.636032661800085,-24.776787002800116,"3.29","1.62",311,"92",42,"66.9",1762,"4.6",663263,663630,668939,542583,602104,683002,622761,679631,656775,669065,"55.94",0.003,0.003,"0",1,0,0,3,72,3,"Other",0,11,11,0,11,0,11,0,"Strategic","Standard",235,"0","-0.209"
"FA","2022-09-19","68.6","-1.82","6.12","McKenna, Ryan",668731,663630,,"called_strike",,,,,1,"Akil Baddoo flies out to left fielder Terrin Vavra.","R","L","R","BAL","DET","S",,,1,0,2022,"-0.4","0.99","-0.62","3.65",,,571466,2,9,"Top",,,,,668939,,,2.806235950541069,-99.97092087817452,1.4103548492492515,-3.133266353070293,15.536487817008265,-25.972548559637236,"3.65","1.59",,,,"66.4",1869,"4.3",663263,663630,668939,542583,602104,683002,622761,679631,656775,669065,"56.18",,,,,,,,72,2,"Other",0,11,11,0,11,0,11,0,"Strategic","Standard",235,"0","-0.041"
"FA","2022-09-19","69.5","-1.74","6.02","McKenna, Ryan",668731,663630,,"blocked_ball",,,,,14,"Akil Baddoo flies out to left fielder Terrin Vavra.","R","L","R","BAL","DET","B",,,0,0,2022,"-0.71","0.86","0.89","0.94",,,571466,2,9,"Top",,,,,668939,,,5.986621631101173,-101.06346851194228,-3.3415798634988145,-5.830046614434662,16.480274883324388,-25.94058037520891,"3.62","1.67",,,,"67.2",1801,"4.4",663263,663630,668939,542583,602104,683002,622761,679631,656775,669065,"56.09",,,,,,,,72,1,"Other",0,11,11,0,11,0,11,0,"Strategic","Standard",243,"0","0.032"
"FA","2022-09-19","68.7","-1.86","6.08","McKenna, Ryan",571466,663630,"single","hit_into_play",,,,,5,"Tucker Barnhart singles on a line drive to right fielder Kyle Stowers.","R","L","R","BAL","DET","X",9,"line_drive",0,1,2022,"-0.49","1.17","0.1","2.17",,,,2,9,"Top",186,107.28,,,668939,,,4.326080144262183,-100.02484291971135,-1.4823091555049173,-4.0037225093062645,16.016962067062803,-24.281046442512558,"3.15","1.43",178,"98.7",12,"66.2",1711,"4.1",663263,663630,668939,542583,602104,683002,622761,679631,656775,669065,"56.35",0.906,0.88,"0.9",1,1,0,4,71,2,"Other",0,11,11,0,11,0,11,0,"Infield shift","Standard",235,"0","0.134"
"FA","2022-09-19","66.8","-1.96","5.98","McKenna, Ryan",571466,663630,,"foul",,,,,12,"Tucker Barnhart singles on a line drive to right fielder Kyle Stowers.","R","L","R","BAL","DET","S",,,0,0,2022,"-0.22","1","0.41","3.75",,,,2,9,"Top",,,,,668939,,,4.537868333880268,-97.21007537795359,2.1662035780386275,-2.040885337697254,13.872478548653879,-26.30723678904992,"3.15","1.43",110,"56.6",22,"64.7",1777,"4.3",663263,663630,668939,542583,602104,683002,622761,679631,656775,669065,"56.19",,,,,,,,71,1,"Other",0,11,11,0,11,0,11,0,"Infield shift","Strategic",226,"0","-0.017"
"FA","2022-09-19","65.9","-1.83","6.06","McKenna, Ryan",668952,663630,"sac_fly","hit_into_play",,,,,1,"Ryan Kreidler out on a sacrifice fly to center fielder Cedric Mullins.   Spencer Torkelson scores.","R","R","R","BAL","DET","X",8,"fly_ball",0,0,2022,"-0.62","0.79","-0.66","3.46",679529,,,1,9,"Top",102.47,73.57,,,668939,,,2.961723516224257,-95.97599305915685,2.0088376616167443,-4.296736924432614,13.916897044548575,-27.734273623706525,"3.48","1.64",316,"92.1",44,"63.8",1819,"4.2",663263,663630,668939,542583,602104,683002,622761,679631,656775,669065,"56.25",0.003,0.003,"0",1,0,0,3,70,1,"Other",0,10,10,0,11,0,11,0,"Infield shift","Standard",232,"0","-0.163"
"FA","2022-09-19","60.5","-1.79","6.02","McKenna, Ryan",570731,663630,"sac_fly","hit_into_play",,,,,3,"Jonathan Schoop out on a sacrifice fly to center fielder Cedric Mullins.   Kerry Carpenter scores.    Spencer Torkelson to 3rd.","R","R","R","BAL","DET","X",8,"fly_ball",0,0,2022,"-0.08","0.94","0.32","3.44",681481,679529,,0,9,"Top",139.26,47.95,,,668939,,,3.5062505836092517,-88.0375239595225,3.038123619788625,-0.9237110373858981,12.121442074054384,-27.93352512619478,"3.61","1.74",375,"98.1",35,"58.5",1492,"4.3",663263,663630,668939,542583,602104,683002,622761,679631,656775,669065,"56.21",0.211,0.401,"0",1,0,0,5,69,1,"Other",0,9,9,0,10,0,10,0,"Standard","Standard",231,"0","-0.31"
"FA","2022-09-19","62.2","-1.88","5.96","McKenna, Ryan",679529,663630,"double","hit_into_play",,,,,2,"Spencer Torkelson hits a ground-rule double (15) on a fly ball down the left-field line.   Kerry Carpenter to 3rd.","R","R","R","BAL","DET","X",,"fly_ball",1,1,2022,"-0.46","1.05","0.17","3",,,681481,0,9,"Top",31.56,103.13,,,668939,,,4.0240741317895505,-90.4949581401352,1.8748182350296454,-3.086528464947741,12.792724775822096,-26.89225934153696,"3.32","1.53",330,"91.7",27,"60.2",1520,"4.4",663263,663630,668939,542583,602104,683002,622761,679631,656775,669065,"56.11",0.129,0.165,"1.25",1,1,1,3,68,3,"Other",0,9,9,0,9,0,9,0,"Standard","Standard",243,"0","1.073"
"FA","2022-09-19","65.2","-1.75","6.03","McKenna, Ryan",679529,663630,,"swinging_strike",,,,,11,"Spencer Torkelson hits a ground-rule double (15) on a fly ball down the left-field line.   Kerry Carpenter to 3rd.","R","R","R","BAL","DET","S",,,1,0,2022,"-0.55","1.18","-0.33","3.64",,,681481,0,9,"Top",,,,,668939,,,3.258069818498887,-94.8492444471692,1.9684127699303098,-3.7851681516286346,14.07452013624244,-25.52028610829965,"3.32","1.53",,,,"62.9",1666,"4.2",663263,663630,668939,542583,602104,683002,622761,679631,656775,669065,"56.26",,,,,,,,68,2,"Other",0,9,9,0,9,0,9,0,"Standard","Standard",233,"0","-0.074"
"FA","2022-09-19","67.3","-1.85","5.97","McKenna, Ryan",679529,663630,,"ball",,,,,12,"Spencer Torkelson hits a ground-rule double (15) on a fly ball down the left-field line.   Kerry Carpenter to 3rd.","R","R","R","BAL","DET","B",,,0,0,2022,"-0.36","1.03","1.42","3.59",,,681481,0,9,"Top",,,,,668939,,,6.414212563708762,-97.82910989227423,1.8321492615851598,-3.312979219111423,15.05602150543167,-26.086439726202244,"3.72","1.7",,,,"65.2",1627,"4.5",663263,663630,668939,542583,602104,683002,622761,679631,656775,669065,"55.97",,,,,,,,68,1,"Other",0,9,9,0,9,0,9,0,"Infield shift","Standard",237,"0","0.059"
