"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"CH","2022-07-26","77","1.71","6.52","Small, Ethan",593934,663629,"strikeout","swinging_strike",,,,,13,"Miguel Sano strikes out swinging.","R","R","L","MIL","MIN","S",2,,1,2,2022,"0.99","1.13","-0.02","1.58",,,596142,1,4,"Top",,,,,553882,,,-5.504862240283093,-111.96668726001258,-5.626000788134246,9.315346853908578,19.123875290189783,-21.856638286640695,"3.64","1.79",,,,"77.8",1336,"6.8",661281,663629,553882,642133,543939,649966,642715,592885,641505,457705,"53.7",,,"0",1,0,0,,35,4,"Changeup",5,3,3,5,3,5,3,5,"Infield shift","Standard",148,"0.033","-0.209"
"CH","2022-07-26","78.8","1.79","6.43","Small, Ethan",593934,663629,,"foul",,,,,9,"Miguel Sano strikes out swinging.","R","R","L","MIL","MIN","S",,,1,1,2022,"0.98","0.95","0.5","1.94",,,596142,1,4,"Top",,,,,553882,,,-4.681272172662012,-114.66588074075003,-4.784319610086064,9.481751859576866,19.994768673409464,-23.110840100714455,"3.64","1.79",2,"29.5",-40,"79.8",1411,"6.9",661281,663629,553882,642133,543939,649966,642715,592885,641505,457705,"53.62",,,,,,,,35,3,"Changeup",5,3,3,5,3,5,3,5,"Infield shift","Standard",144,"0","-0.07"
"FF","2022-07-26","89.8","1.06","6.58","Small, Ethan",593934,663629,,"ball",,,,,11,"Miguel Sano strikes out swinging.","R","R","L","MIL","MIN","B",,,0,1,2022,"0.03","1.57","-0.28","4.11",,,596142,1,4,"Top",,,,,553882,,,-3.412509765664081,-130.84779959806755,-3.5023583775432128,1.0821425221561896,26.89501843530784,-13.559010320385841,"3.66","1.86",,,,"90.7",2128,"6.7",661281,663629,553882,642133,543939,649966,642715,592885,641505,457705,"53.81",,,,,,,,35,2,"4-Seam Fastball",5,3,3,5,3,5,3,5,"Infield shift","Standard",176,"0","0.031"
"FF","2022-07-26","89.4","1.27","6.54","Small, Ethan",593934,663629,,"called_strike",,,,,2,"Miguel Sano strikes out swinging.","R","R","L","MIL","MIN","S",,,0,0,2022,"0.22","1.67","0.13","3.39",,,596142,1,4,"Top",,,,,553882,,,-3.284838655416315,-130.09692763840462,-5.311037303742977,3.1594220414906093,27.368319198732866,-12.31363190410803,"3.66","1.73",,,,"90.2",2077,"6.8",661281,663629,553882,642133,543939,649966,642715,592885,641505,457705,"53.74",,,,,,,,35,1,"4-Seam Fastball",5,3,3,5,3,5,3,5,"Infield shift","Standard",172,"0","-0.048"
"FF","2022-07-26","89.1","1.51","6.53","Small, Ethan",596142,663629,"walk","ball",,,,,12,"Gary Sanchez walks.","R","R","L","MIL","MIN","B",,,3,0,2022,"0.37","1.54","0.22","4.72",,,,1,4,"Top",,,,,553882,,,-3.9853899790945087,-129.70507718030458,-1.6755768827472923,4.998581241556197,26.403966600139874,-14.609299730143958,"3.33","1.6",,,,"90.1",2159,"6.8",661281,663629,553882,642133,543939,649966,642715,592885,641505,457705,"53.67",,,"0.7",1,0,0,,34,4,"4-Seam Fastball",5,3,3,5,3,5,3,5,"Infield shift","Standard",173,"-0.029","0.111"
"CH","2022-07-26","76.5","1.5","6.61","Small, Ethan",596142,663629,,"ball",,,,,12,"Gary Sanchez walks.","R","R","L","MIL","MIN","B",,,2,0,2022,"0.89","1.27","0.25","3.53",,,,1,4,"Top",,,,,553882,,,-4.273074265245448,-111.44403887704699,-1.8430812403680545,8.127287016651216,18.20105035511665,-21.381329675326548,"3.16","1.51",,,,"77.5",1416,"6.7",661281,663629,553882,642133,543939,649966,642715,592885,641505,457705,"53.76",,,,,,,,34,3,"Changeup",5,3,3,5,3,5,3,5,"Infield shift","Standard",160,"0","0.086"
"CH","2022-07-26","78.2","1.74","6.39","Small, Ethan",596142,663629,,"ball",,,,,14,"Gary Sanchez walks.","R","R","L","MIL","MIN","B",,,1,0,2022,"1.13","0.87","1.02","-0.18",,,,1,4,"Top",,,,,553882,,,-3.671601984903871,-113.62345539893046,-9.022143477855787,10.438348210826865,19.354530414524348,-23.22115279219817,"3.16","1.66",,,,"79.2",1474,"6.9",661281,663629,553882,642133,543939,649966,642715,592885,641505,457705,"53.57",,,,,,,,34,2,"Changeup",5,3,3,5,3,5,3,5,"Infield shift","Standard",154,"0","0.044"
"FF","2022-07-26","89.6","1.27","6.53","Small, Ethan",596142,663629,,"ball",,,,,11,"Gary Sanchez walks.","R","R","L","MIL","MIN","B",,,0,0,2022,"0.39","1.58","-0.2","4.12",,,,1,4,"Top",,,,,553882,,,-4.480819669978334,-130.43092465988295,-3.334999061966402,5.325152073582681,26.554802204151784,-13.624198171902808,"3.28","1.48",,,,"90.5",2098,"6.8",661281,663629,553882,642133,543939,649966,642715,592885,641505,457705,"53.73",,,,,,,,34,1,"4-Seam Fastball",5,3,3,5,3,5,3,5,"Infield shift","Standard",173,"0","0.023"
"FF","2022-07-26","88.8","1.54","6.47","Small, Ethan",666135,663629,"field_out","hit_into_play",,,,,2,"Alex Kirilloff flies out to center fielder Jonathan Davis.","R","L","L","MIL","MIN","X",8,"fly_ball",2,1,2022,"0.44","1.42","0","3.19",,,,0,4,"Top",89.46,53.54,,,553882,,,-4.745735021929569,-129.24274857520004,-5.014253839473973,5.945417347675393,26.53194658161678,-15.406036921557925,"3.39","1.7",371,"96.8",36,"89.7",2074,"6.8",661281,663629,553882,642133,543939,649966,642715,592885,641505,457705,"53.69",0.146,0.264,"0",1,0,0,3,33,4,"4-Seam Fastball",5,3,3,5,3,5,3,5,"Infield shift","Standard",167,"0.026","-0.261"
"FF","2022-07-26","88.4","1.59","6.52","Small, Ethan",666135,663629,,"foul",,,,,7,"Alex Kirilloff flies out to center fielder Jonathan Davis.","R","L","L","MIL","MIN","S",,,2,0,2022,"0.31","1.71","-0.38","1.98",,,,0,4,"Top",,,,,553882,,,-5.485465842055447,-128.43849763769225,-8.645232027153408,4.494087571405212,25.9680311148065,-11.625221956591563,"3.39","1.7",2,"72.7",-38,"89.3",2101,"6.9",661281,663629,553882,642133,543939,649966,642715,592885,641505,457705,"53.6",,,,,,,,33,3,"4-Seam Fastball",5,3,3,5,3,5,3,5,"Infield shift","Standard",168,"0","-0.056"
