"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SL","2022-05-12","78.3","3.46","5.37","Alldred, Cam",571980,682027,"single","hit_into_play",,,,,9,"Tyler Naquin singles on a ground ball to right fielder Jack Suwinski.","R","L","L","PIT","CIN","X",9,"ground_ball",1,1,2022,"-0.97","0.21","0.31","1.97",,,,0,7,"Top",182.13,108.2,,,605421,,,-4.976331303492051,-113.97042823164105,-0.9086732363026557,-7.555344455309437,20.176724901640753,-30.352471470312775,"3.5","1.66",112,"88.6",7,"77.9",2469,"5.9",662372,682027,605421,660294,642165,663647,666801,592325,668804,669261,"54.59",0.469,0.434,"0.9",1,1,0,4,46,3,"Slider",0,2,2,0,2,0,2,0,"Strategic","Standard",282,"-0.023","0.404"
"SI","2022-05-12","85.4","3.44","5.2","Alldred, Cam",571980,682027,,"foul",,,,,9,"Tyler Naquin singles on a ground ball to right fielder Jack Suwinski.","R","L","L","PIT","CIN","S",,,1,0,2022,"1.61","0.53","0.43","2.02",,,,0,7,"Top",,,,,605421,,,-10.295274124778016,-123.8410573696491,-2.150669470797832,18.74676773403899,27.649759391940865,-26.496347391826482,"3.5","1.66",2,"74.7",-40,"84.6",2199,"6.2",662372,682027,605421,660294,642165,663647,666801,592325,668804,669261,"54.27",,,,,,,,46,2,"Sinker",0,2,2,0,2,0,2,0,"Standard","Standard",137,"0","-0.043"
"SI","2022-05-12","84.1","3.39","5.23","Alldred, Cam",571980,682027,,"ball",,,,,13,"Tyler Naquin singles on a ground ball to right fielder Jack Suwinski.","R","L","L","PIT","CIN","B",,,0,0,2022,"1.25","0.72","-0.35","1.32",,,,0,7,"Top",,,,,605421,,,-11.112586141952022,-122.00328672088946,-4.0643222230309854,14.714528932711797,24.04193626541461,-24.32453865551053,"3.49","1.61",,,,"83.8",2105,"6.3",662372,682027,605421,660294,642165,663647,666801,592325,668804,669261,"54.24",,,,,,,,46,1,"Sinker",0,2,2,0,2,0,2,0,"Standard","Standard",136,"0","0.033"
"SL","2022-05-12","78.6","3.3","5.25","Alldred, Cam",592567,682027,"field_out","hit_into_play",,,,,7,"Colin Moran grounds out to first baseman Yoshi Tsutsugo.","R","L","L","PIT","CIN","X",3,"ground_ball",0,2,2022,"-0.87","0.02","-0.29","2.18",,,,2,6,"Top",148.25,170.52,,,605421,,,-6.124724214444161,-114.40511092768936,0.10164870284290028,-6.629721361364535,20.12517611841165,-32.18815304114921,"3.61","1.73",5,"90.5",-24,"78.4",2323,"6",662372,682027,605421,660294,642165,663647,666801,592325,668804,669261,"54.47",0.097,0.098,"0",1,0,0,2,42,4,"Slider",0,2,2,0,2,0,2,0,"Infield shift","Strategic",290,"0.008","-0.059"
"SL","2022-05-12","80.8","3.37","5.27","Alldred, Cam",592567,682027,,"foul",,,,,7,"Colin Moran grounds out to first baseman Yoshi Tsutsugo.","R","L","L","PIT","CIN","S",,,0,2,2022,"-0.98","0.42","-0.6","2.27",,,,2,6,"Top",,,,,605421,,,-6.923653522237416,-117.500150647783,-0.8431422344803432,-7.735142006374527,22.25866720878225,-28.336572858620546,"3.61","1.73",5,"66.1",-26,"80.3",2338,"6",662372,682027,605421,660294,642165,663647,666801,592325,668804,669261,"54.49",,,,,,,,42,3,"Slider",0,2,2,0,2,0,2,0,"Infield shift","Standard",287,"0","0"
"SL","2022-05-12","79.7","3.32","5.17","Alldred, Cam",592567,682027,,"swinging_strike",,,,,7,"Colin Moran grounds out to first baseman Yoshi Tsutsugo.","R","L","L","PIT","CIN","S",,,0,1,2022,"-0.42","0.18","-0.78","1.71",,,,2,6,"Top",,,,,605421,,,-8.199060004339847,-115.96233524817707,-1.242949824646452,-2.3859665097380076,20.065228886524586,-30.476876897119343,"3.61","1.73",,,,"79.8",2453,"6.2",662372,682027,605421,660294,642165,663647,666801,592325,668804,669261,"54.27",,,,,,,,42,2,"Slider",0,2,2,0,2,0,2,0,"Infield shift","Standard",298,"0","-0.023"
"SI","2022-05-12","86.3","3.32","5.2","Alldred, Cam",592567,682027,,"called_strike",,,,,13,"Colin Moran grounds out to first baseman Yoshi Tsutsugo.","R","L","L","PIT","CIN","S",,,0,0,2022,"1.39","0.75","-0.1","1.65",,,,2,6,"Top",,,,,605421,,,-11.047595270398467,-125.19568628013847,-3.777422954918212,16.776634975109214,22.89577529019177,-23.72059056306121,"3.6","1.77",,,,"87.2",2197,"6.8",662372,682027,605421,660294,642165,663647,666801,592325,668804,669261,"53.71",,,,,,,,42,1,"Sinker",0,2,2,0,2,0,2,0,"Infield shift","Standard",136,"0","-0.017"
"SL","2022-05-12","79.6","3.42","5.19","Alldred, Cam",663886,682027,"strikeout","called_strike",,,,,7,"Tyler Stephenson called out on strikes.","R","R","L","PIT","CIN","S",2,,3,2,2022,"-0.59","0.38","-0.46","1.42",,,,1,6,"Top",,,,,605421,,,-7.439967847590308,-115.74060287870319,-2.2868980778466472,-4.08746974560606,20.03578491036003,-28.505926425582423,"3.19","1.52",,,,"80.2",2468,"6.6",662372,682027,605421,660294,642165,663647,666801,592325,668804,669261,"53.9",,,"0",1,0,0,,41,7,"Slider",0,2,2,0,2,0,2,0,"Standard","Standard",292,"0.012","-0.207"
"FF","2022-05-12","88.1","3.5","5.23","Alldred, Cam",663886,682027,,"ball",,,,,13,"Tyler Stephenson called out on strikes.","R","R","L","PIT","CIN","B",,,2,2,2022,"0.52","1.28","-1","2.19",,,,1,6,"Top",,,,,605421,,,-11.97472175319009,-127.80152579896344,-3.9452070025626735,8.007826693765352,24.855901887888013,-17.399398917750506,"3.19","1.56",,,,"88.1",2266,"6.4",662372,682027,605421,660294,642165,663647,666801,592325,668804,669261,"54.14",,,,,,,,41,6,"4-Seam Fastball",0,2,2,0,2,0,2,0,"Standard","Standard",141,"0","0.073"
"SI","2022-05-12","89","3.49","5.13","Alldred, Cam",663886,682027,,"foul",,,,,6,"Tyler Stephenson called out on strikes.","R","R","L","PIT","CIN","S",,,2,2,2022,"1.29","0.55","0.77","2.57",,,,1,6,"Top",,,,,605421,,,-9.360420075572346,-129.40354081954717,-1.4633938742200834,16.283394667791207,22.88093724789996,-25.87030960191389,"3.19","1.5",301,"93.8",30,"89.5",2219,"6.3",662372,682027,605421,660294,642165,663647,666801,592325,668804,669261,"54.22",,,,,,,,41,5,"Sinker",0,2,2,0,2,0,2,0,"Standard","Standard",134,"0","0"
