"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"KC","2022-10-02","82.1","-2.61","6.43","Melancon, Mark",573262,453343,"strikeout","swinging_strike_blocked",,,,,13,"Mike Yastrzemski strikes out swinging.","R","L","R","SF","AZ","S",2,,2,2,2022,"0.56","-1.27","-0.06","1.06",,,,2,9,"Bot",,,,,608348,,,4.71676693841349,-119.49429350136502,-3.125811160725984,4.363611895976655,23.97880507059305,-43.91897468561989,"3.44","1.65",,,,"82.3",2701,"6.5",662022,453343,608348,572233,668942,642727,672695,682998,662139,664983,"54.01",,,"0",1,0,0,,74,5,"Knuckle Curve",2,2,2,2,2,2,2,2,"Infield shift","Standard",22,"-0.033","-0.083"
"FC","2022-10-02","90.3","-2.74","6.4","Melancon, Mark",573262,453343,,"ball",,,,,12,"Mike Yastrzemski strikes out swinging.","R","L","R","SF","AZ","B",,,1,2,2022,"0.05","0.67","1.15","3.05",,,,2,9,"Bot",,,,,608348,,,9.611234097373984,-131.2522184306964,-3.8798588886094603,-1.2198761138801104,24.790570804436808,-23.74935409406172,"3.33","1.68",,,,"91",2285,"6.5",662022,453343,608348,572233,668942,642727,672695,682998,662139,664983,"53.98",,,,,,,,74,4,"Cutter",2,2,2,2,2,2,2,2,"Infield shift","Standard",196,"0","0.014"
"FC","2022-10-02","90.9","-2.78","6.45","Melancon, Mark",573262,453343,,"foul",,,,,2,"Mike Yastrzemski strikes out swinging.","R","L","R","SF","AZ","S",,,1,1,2022,"-0.08","0.97","0.25","3.36",,,,2,9,"Bot",,,,,608348,,,7.762864520506964,-132.15069598260533,-3.9046542653655414,-2.614000340184779,28.219556646014233,-20.130283004941717,"3.44","1.65",,,,"90.8",2250,"6.3",662022,453343,608348,572233,668942,642727,672695,682998,662139,664983,"54.21",,,,,,,,74,3,"Cutter",2,2,2,2,2,2,2,2,"Infield shift","Standard",195,"0","-0.023"
"FC","2022-10-02","91.3","-2.79","6.4","Melancon, Mark",573262,453343,,"called_strike",,,,,3,"Mike Yastrzemski strikes out swinging.","R","L","R","SF","AZ","S",,,1,0,2022,"-0.13","0.76","0.37","3.14",,,,2,9,"Bot",,,,,608348,,,8.248018681398344,-132.7736265472158,-4.034159981792094,-3.0310931149913283,24.41221366344121,-22.501255750755426,"3.39","1.68",,,,"92",2192,"6.4",662022,453343,608348,572233,668942,642727,672695,682998,662139,664983,"54.05",,,,,,,,74,2,"Cutter",2,2,2,2,2,2,2,2,"Infield shift","Standard",192,"0","-0.021"
"FC","2022-10-02","90.8","-2.71","6.43","Melancon, Mark",573262,453343,,"ball",,,,,12,"Mike Yastrzemski strikes out swinging.","R","L","R","SF","AZ","B",,,0,0,2022,"-0.22","0.72","1.2","2.77",,,,2,9,"Bot",,,,,608348,,,10.267658766403764,-131.97510272609946,-4.852088242828448,-4.576375872296205,25.52085774382204,-22.845289177971985,"3.33","1.68",,,,"91.3",2163,"6.5",662022,453343,608348,572233,668942,642727,672695,682998,662139,664983,"54.03",,,,,,,,74,1,"Cutter",2,2,2,2,2,2,2,2,"Infield shift","Standard",195,"0","0.015"
"FC","2022-10-02","91.3","-2.73","6.45","Melancon, Mark",613564,453343,"field_out","hit_into_play",,,,,4,"Jason Vosler pops out to third baseman Sergio Alcantara.","R","L","R","SF","AZ","X",5,"popup",2,1,2022,"-0.13","0.94","-0.54","2.45",,,,1,9,"Bot",110.6,154.7,,,608348,,,5.819466117040418,-132.8812375293641,-6.311312489520206,-2.6526495682647595,24.918232010150682,-19.92643750309967,"3.33","1.6",124,"90.6",70,"92.3",2321,"6.6",662022,453343,608348,572233,668942,642727,672695,682998,662139,664983,"53.91",0.014,0.017,"0",1,0,0,3,73,4,"Cutter",2,2,2,2,2,2,2,2,"Infield shift","Strategic",191,"-0.044","-0.181"
"FC","2022-10-02","90.6","-2.83","6.41","Melancon, Mark",613564,453343,,"called_strike",,,,,1,"Jason Vosler pops out to third baseman Sergio Alcantara.","R","L","R","SF","AZ","S",,,2,0,2022,"-0.08","0.83","-0.83","3.08",,,,1,9,"Bot",,,,,608348,,,5.189133668705547,-131.95580654263998,-4.22156437525242,-1.9814965484460778,26.76816442677467,-21.773581077510126,"3.3","1.63",,,,"91.2",2268,"6.5",662022,453343,608348,572233,668942,642727,672695,682998,662139,664983,"54.01",,,,,,,,73,3,"Cutter",2,2,2,2,2,2,2,2,"Infield shift","Standard",195,"0","-0.042"
"KC","2022-10-02","81.3","-2.72","6.44","Melancon, Mark",613564,453343,,"ball",,,,,14,"Jason Vosler pops out to third baseman Sergio Alcantara.","R","L","R","SF","AZ","B",,,1,0,2022,"0.3","-1.25","0.87","-1.45",,,,1,9,"Bot",,,,,608348,,,7.474356983045958,-117.96144534724769,-8.62776777674535,1.3103122648569066,23.09445791224103,-42.26766171429797,"3.16","1.63",,,,"81.1",2694,"6.4",662022,453343,608348,572233,668942,642727,672695,682998,662139,664983,"54.09",,,,,,,,73,2,"Knuckle Curve",2,2,2,2,2,2,2,2,"Infield shift","Standard",9,"0","0.044"
"KC","2022-10-02","77.5","-2.65","6.5","Melancon, Mark",613564,453343,,"ball",,,,,13,"Jason Vosler pops out to third baseman Sergio Alcantara.","R","L","R","SF","AZ","B",,,0,0,2022,"0.33","-1.41","-0.27","1.47",,,,1,9,"Bot",,,,,608348,,,4.487442812620871,-112.69995815115513,-1.1645678737184,1.879081558238744,22.214749695028235,-44.0792585595461,"3.19","1.63",,,,"77.3",2493,"6.4",662022,453343,608348,572233,668942,642727,672695,682998,662139,664983,"54.12",,,,,,,,73,1,"Knuckle Curve",2,2,2,2,2,2,2,2,"Infield shift","Standard",16,"0","0.023"
"FC","2022-10-02","90.9","-2.92","6.37","Melancon, Mark",596103,453343,"field_out","hit_into_play",,,,,5,"Austin Slater lines out sharply to right fielder Jake McCarthy.","R","R","R","SF","AZ","X",9,"line_drive",1,0,2022,"-0.3","0.61","0.24","2.64",,,,0,9,"Bot",210.4,97.92,,,608348,,,8.594800097246775,-132.1638035804355,-4.8409100238638425,-5.1693501629003356,24.250440444669866,-24.18859853806576,"3.41","1.68",324,"105.3",21,"91.8",2212,"6.5",662022,453343,608348,572233,668942,642727,672695,682998,662139,664983,"53.96",0.729,1.102,"0",1,0,0,6,72,2,"Cutter",2,2,2,2,2,2,2,2,"Strategic","Standard",197,"-0.057","-0.255"
