,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
38,SV,2022-07-24,77.7,-2.24,5.27,"McKay, David",608369,641853,field_out,hit_into_play,,,,,9.0,"Corey Seager grounds out, second baseman Nick Allen to first baseman Dermis Garcia.",R,L,R,OAK,TEX,X,4.0,ground_ball,0,1,2022,1.06,-0.93,0.32,1.81,,,669701.0,2,5,Top,170.95,142.04,,,519390,,,3.556094851541894,-113.096632725706,1.2773157872551602,8.35617750719379,22.46299652721159,-40.61055909694148,3.47,1.52,135.0,81.0,12.0,77.7,2841.0,6.5,662343,641853,519390,660650,669397,641914,462101,640461,657656,572039,54.03,0.531,0.478,0.0,1.0,0.0,0.0,4.0,45,2,Slurve,0,10,10,0,10,0,10,0,Infield shift,Standard,51.0,0.0,-0.183
39,SV,2022-07-24,77.2,-2.33,5.31,"McKay, David",608369,641853,,foul,,,,,2.0,"Corey Seager grounds out, second baseman Nick Allen to first baseman Dermis Garcia.",R,L,R,OAK,TEX,S,,,0,0,2022,1.28,-0.22,-0.08,3.35,,,669701.0,2,5,Top,,,,,519390,,,2.4635826740963296,-112.33333093059888,3.286777577911505,10.307151099359633,22.220928940056712,-34.932389736045195,3.47,1.52,134.0,70.5,71.0,77.4,2762.0,6.6,662343,641853,519390,660650,669397,641914,462101,640461,657656,572039,53.88,,,,,,,,45,1,Slurve,0,10,10,0,10,0,10,0,Infield shift,Standard,56.0,0.0,-0.035
41,SV,2022-07-24,77.1,-2.35,5.27,"McKay, David",543760,641853,,ball,,,,,11.0,Marcus Semien out on a sacrifice fly to left fielder Chad Pinder.   Ezequiel Duran scores.,R,R,R,OAK,TEX,B,,,1,0,2022,1.37,-0.45,-0.61,3.66,677649.0,,669701.0,1,5,Top,,,,,519390,,,1.2081073898074457,-111.973995967598,4.5443769291679335,11.095367421725514,24.249391351749598,-37.16477122053588,3.27,1.54,,,,76.6,2746.0,6.5,662343,641853,519390,660650,669397,641914,462101,640461,657656,572039,53.98,,,,,,,,44,2,Slurve,0,9,9,0,9,0,9,0,Standard,Standard,61.0,0.0,0.073
52,SV,2022-07-01,79.4,-2.1,5.24,"McKay, David",666971,641853,home_run,hit_into_play,,,,,7.0,Lourdes Gurriel Jr.  homers (5) on a fly ball to left center field.,R,R,R,TOR,TB,X,,fly_ball,1,1,2022,0.87,-0.28,-0.54,2.15,,,,2,7,Bot,46.51,43.03,,,650907,,,1.7907656437076098,-115.70975181506574,0.5282683818287164,7.474896817433504,22.114908899170885,-34.99170034476232,3.54,1.66,431.0,107.0,25.0,79.5,2636.0,6.3,661725,641853,650907,596847,660644,670623,677551,666139,595281,621433,54.17,0.96,1.935,2.0,1.0,0.0,3.0,6.0,67,3,Slurve,8,2,8,2,2,9,9,2,Standard,Standard,69.0,0.004,1.006
55,SV,2022-07-01,76.5,-1.97,5.37,"McKay, David",606132,641853,field_out,hit_into_play,,,,,9.0,Raimel Tapia grounds out to first baseman Ji-Man Choi.,R,L,R,TOR,TB,X,3.0,ground_ball,0,2,2022,1.25,-0.44,0.38,1.84,,,,1,7,Bot,158.45,168.67,,,650907,,,2.703317644186092,-111.33180687851296,0.4714057139524839,9.76065048073222,23.00051725492961,-36.11435142890828,3.59,1.73,4.0,72.0,-26.0,76.2,2773.0,6.4,661725,641853,650907,596847,660644,670623,677551,666139,595281,621433,54.1,0.031,0.028,0.0,1.0,0.0,0.0,2.0,66,4,Slurve,8,2,8,2,2,8,8,2,Standard,Standard,51.0,-0.001,-0.1
58,SV,2022-07-01,77.8,-1.94,5.47,"McKay, David",606132,641853,,called_strike,,,,,6.0,Raimel Tapia grounds out to first baseman Ji-Man Choi.,R,L,R,TOR,TB,S,,,0,0,2022,1.22,-0.95,0.43,2.39,,,,1,7,Bot,,,,,650907,,,2.8362457027369268,-113.12439243226598,2.165294164324991,9.79459849484066,23.53114041541218,-40.96401567378631,3.5,1.77,,,,77.5,2760.0,6.5,661725,641853,650907,596847,660644,670623,677551,666139,595281,621433,54.05,,,,,,,,66,1,Slurve,8,2,8,2,2,8,8,2,Standard,Standard,54.0,0.0,-0.024
77,SV,2022-07-01,78.0,-2.09,5.42,"McKay, David",543807,641853,single,hit_into_play,,,,,9.0,George Springer singles on a line drive to left fielder Josh Lowe.   Lourdes Gurriel Jr.  scores.    Santiago Espinal scores.    Cavan Biggio to 2nd.,R,R,R,TOR,TB,X,7.0,line_drive,0,1,2022,1.28,-1.03,0.44,1.91,666971.0,669289.0,624415.0,0,6,Bot,47.66,119.45,,,650907,,,3.1020652669789697,-113.4035647126516,1.3727682168960496,10.25050763048821,23.86688658804896,-41.4570481758134,3.54,1.62,155.0,80.4,14.0,77.9,3006.0,6.6,661725,641853,650907,596847,670623,650490,677551,666139,595281,621433,53.87,0.657,0.591,0.9,1.0,1.0,0.0,4.0,57,2,Slurve,5,2,5,2,2,7,7,2,Infield shift,Standard,83.0,0.021,1.276
78,SV,2022-07-01,78.6,-1.93,5.47,"McKay, David",543807,641853,,called_strike,,,,,14.0,George Springer singles on a line drive to left fielder Josh Lowe.   Lourdes Gurriel Jr.  scores.    Santiago Espinal scores.    Cavan Biggio to 2nd.,R,R,R,TOR,TB,S,,,0,0,2022,1.29,-1.05,1.04,1.86,666971.0,669289.0,624415.0,0,6,Bot,,,,,650907,,,4.037905212730317,-114.36512743026005,1.0537264548248275,10.409767424900288,23.679935728425463,-41.79742341915109,3.47,1.57,,,,78.5,3002.0,6.5,661725,641853,650907,596847,670623,650490,677551,666139,595281,621433,54.03,,,,,,,,57,1,Slurve,5,2,5,2,2,5,5,2,Infield shift,Standard,44.0,0.0,-0.156
81,SV,2022-07-01,76.7,-2.02,5.56,"McKay, David",624415,641853,,called_strike,,,,,1.0,Cavan Biggio walks.   Lourdes Gurriel Jr.  to 3rd.    Santiago Espinal to 2nd.,R,L,R,TOR,TB,S,,,2,0,2022,1.41,-0.53,-0.34,2.77,,666971.0,669289.0,0,6,Bot,,,,,650907,,,1.0038475407153635,-111.55289837386906,2.144754283878685,11.45277299640813,22.480379135714,-37.21683370003462,3.31,1.56,,,,76.2,2690.0,6.2,661725,641853,650907,596847,670623,650490,677551,666139,595281,621433,54.26,,,,,,,,56,3,Slurve,5,2,5,2,2,5,5,2,Infield shift,Standard,52.0,0.0,-0.109
83,SV,2022-07-01,76.1,-1.92,5.55,"McKay, David",624415,641853,,ball,,,,,11.0,Cavan Biggio walks.   Lourdes Gurriel Jr.  to 3rd.    Santiago Espinal to 2nd.,R,L,R,TOR,TB,B,,,0,0,2022,1.43,-1.0,-0.96,3.67,,666971.0,669289.0,0,6,Bot,,,,,650907,,,-0.554355304460461,-110.64753538882664,5.0143937985644325,11.725154154106828,22.574697265070803,-41.537900584581024,3.33,1.56,,,,75.7,2853.0,6.4,661725,641853,650907,596847,670623,650490,677551,666139,595281,621433,54.15,,,,,,,,56,1,Slurve,5,2,5,2,2,5,5,2,Infield shift,Standard,51.0,0.0,0.084
