,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
891,PO,2022-04-22,89.3,-2.14,5.19,"Herget, Jimmy",663624,623474,,pitchout,,,,,12.0,Ryan Mountcastle strikes out swinging.,R,R,R,LAA,BAL,B,,,0,2,2022,-1.57,0.19,1.35,3.15,,,622761.0,2,7,Top,,,,,545358,,,11.567361488581088,-129.51524815773206,0.5922156513830139,-20.026072104482413,26.665053530633323,-30.38602933636378,3.54,1.68,,,,87.2,2093.0,5.1,661037,623474,545358,622110,608686,543685,623205,666176,545361,621493,55.37,,,,,,,,49,3,Pitch Out,1,5,5,1,5,1,5,1,Standard,Standard,249.0,0.0,
1036,PO,2022-04-10,86.0,-2.57,5.84,"Crismatt, Nabil",672695,622503,,pitchout,,,,,11.0,Geraldo Perdomo walks.   Daulton Varsho to 2nd.,R,L,R,AZ,SD,B,,,0,0,2022,-0.67,1.27,-2.8,3.78,,,662139.0,1,2,Bot,,,,,595751,,,0.8539028442702787,-125.15226627926609,-1.141921916249534,-7.204816579204882,28.75286554955849,-18.905369007295214,3.47,1.59,,,,86.1,2250.0,6.7,663395,622503,595751,572228,630105,592518,673490,595777,663757,571976,53.83,,,,,,,,20,1,Pitch Out,0,5,0,5,5,0,0,5,Infield shift,Standard,211.0,0.0,
66,PO,2022-10-04,93.0,-1.27,6.55,"Quantrill, Cal",658668,615698,,pitchout,,,,,12.0,Edward Olivares strikes out swinging.,R,R,R,CLE,KC,B,,,0,0,2022,-0.95,1.12,2.01,4.43,,,677951.0,2,1,Top,,,,,595978,,,10.489555028513353,-135.12845896984055,-2.103549036342794,-13.963550419367149,29.40492700891728,-18.18352108739737,3.53,1.67,,,,92.9,2172.0,6.3,663077,615698,595978,680911,665926,672356,642708,680757,664702,660757,54.18,,,,,,,,4,1,Pitch Out,0,0,0,0,0,0,0,0,Standard,Standard,217.0,0.0,
1452,PO,2022-05-30,90.3,-0.22,6.94,"Thompson, Zach",669257,605507,,pitchout,,,,,12.0,"Will Smith grounds out, third baseman Ke\'Bryan Hayes to first baseman Josh VanMeter.",R,R,R,LAD,PIT,B,,,0,2,2022,-0.14,1.16,2.31,4.81,,,607208.0,2,1,Bot,,,,,605421,,,6.5768507137146575,-131.4863636528442,-1.85282800784613,-2.9766375445114965,26.93107163024993,-18.542850044627468,3.28,1.51,,,,90.5,2334.0,6.3,662743,605507,605421,642165,660636,663647,666801,672779,668804,669261,54.2,,,,,,,,7,3,Pitch Out,0,0,0,0,0,0,0,0,Standard,Standard,198.0,0.0,
872,PO,2022-08-15,87.1,-1.73,6.51,"Musgrove, Joe",542583,605397,,pitchout,,,,,12.0,"Jesus Aguilar grounds out, third baseman Manny Machado to first baseman Josh Bell.",R,R,R,MIA,SD,B,,,0,0,2022,-0.5,1.45,2.54,4.04,,,542932.0,2,3,Bot,,,,,543592,,,11.18364041009958,-126.33119920280711,-2.6702322687199,-7.682205280477253,26.67611486170556,-16.264692742928304,3.51,1.75,,,,86.2,2472.0,6.0,661358,605397,543592,605137,630105,592518,673490,595777,663757,665742,54.51,,,,,,,,25,1,Pitch Out,2,0,2,0,0,2,2,0,Standard,Standard,214.0,0.0,
2002,PO,2022-04-26,86.0,-1.39,5.74,"Davies, Zach",457759,605200,,pitchout,,,,,14.0,Justin Turner flies out sharply to center fielder Daulton Varsho.,R,R,R,AZ,LAD,B,,,0,1,2022,-1.14,1.27,2.76,2.48,,,607208.0,0,3,Top,,,,,645444,,,12.003234017970678,-124.6601542110079,-3.9494721313118286,-14.38078065576834,26.67858542859922,-18.28917034328972,3.5,1.59,,,,84.9,2053.0,5.9,663383,605200,645444,572233,606466,642727,672695,444482,662139,656976,54.58,,,,,,,,20,2,Pitch Out,0,3,3,0,3,0,3,0,Standard,Standard,229.0,0.0,
306,PO,2022-09-14,88.6,-1.74,5.39,"Clevinger, Mike",641487,605182,,pitchout,,,,,11.0,J.P. Crawford walks.,R,L,R,SEA,SD,B,,,0,0,2022,-0.85,1.41,-1.15,3.74,,,664059.0,0,2,Bot,,,,,595751,,,3.248574317932654,-129.05500025355792,-0.9335364395562536,-10.21695260936209,26.68371109048,-16.442448718468494,3.36,1.56,,,,89.4,2214.0,6.7,662118,605182,595751,571976,630105,592518,673490,595777,663757,665742,53.78,,,,,,,,17,1,Pitch Out,3,0,3,0,0,3,3,0,Standard,Standard,211.0,0.0,
153,PO,2022-09-27,88.0,-1.31,6.39,"Taillon, Jameson",543807,592791,,pitchout,,,,,12.0,George Springer flies out to right fielder Oswaldo Cabrera.,R,R,R,TOR,NYY,B,,,0,0,2022,-0.51,1.42,2.05,4.73,,,593160.0,1,3,Bot,,,,,543309,,,9.16370791002687,-127.84434690434568,-0.8231780455354397,-7.581279782329569,27.76873469667465,-16.658448645808278,3.55,1.6,,,,87.3,2148.0,6.1,661778,592791,543309,519203,650402,518626,643396,543305,592450,665828,54.45,,,,,,,,24,1,Pitch Out,1,2,1,2,2,1,1,2,Infield shift,Standard,211.0,0.0,
807,PO,2022-07-25,88.0,-1.31,6.26,"Syndergaard, Noah",643217,592789,,pitchout,,,,,11.0,Andrew Benintendi pops out to second baseman Luis Rengifo.,R,L,R,KC,LAA,B,,,1,2,2022,-0.88,1.32,-4.25,4.96,,,593160.0,1,5,Bot,,,,,545358,,,-5.292117669745818,-128.13779581412928,0.2263041840193473,-8.549659641789354,27.287045475515065,-17.909019086134542,3.29,1.51,,,,87.9,2059.0,6.2,662655,592789,545358,665120,650859,594838,623205,666176,669016,621493,54.27,,,,,,,,41,4,Pitch Out,0,0,0,0,0,0,0,0,Infield shift,Standard,224.0,0.0,
952,PO,2022-07-12,91.8,-0.97,6.31,"Syndergaard, Noah",649557,592789,,pitchout,,,,,12.0,Aledmys Diaz homers (6) on a fly ball to center field.   Jose Altuve scores.,R,R,R,LAA,HOU,B,,,0,2,2022,-0.48,1.18,1.69,5.0,,,514888.0,0,1,Top,,,,,545358,,,7.816141650585582,-133.44121877342542,0.021602882697801,-7.410122988297332,29.78411020785912,-18.34109427397429,3.38,1.62,,,,92.3,2097.0,6.7,663402,592789,545358,665120,683021,542340,650859,669016,545361,621493,53.76,,,,,,,,2,3,Pitch Out,0,0,0,0,0,0,0,0,Standard,Standard,220.0,-0.024,
988,PO,2022-07-05,88.6,-1.05,6.34,"Syndergaard, Noah",605119,592789,,pitchout,,,,,12.0,"Brian Anderson grounds into a double play, second baseman Luis Rengifo to first baseman Jared Walsh.   Jesus Sanchez out at 2nd.    Brian Anderson out at 1st.",R,R,R,MIA,LAA,B,,,1,2,2022,-0.66,1.26,1.73,3.65,,,660821.0,1,4,Bot,,,,,545358,,,8.183394452857101,-128.6792176955074,-3.0395846897609577,-9.145990791877033,30.19322671009476,-17.83786806953648,3.43,1.59,,,,88.1,2053.0,6.4,661379,592789,545358,665120,650859,542340,623205,669016,545361,621493,54.09,,,,,,,,27,4,Pitch Out,1,0,1,0,0,1,1,0,Standard,Standard,214.0,0.0,
1053,PO,2022-06-27,87.2,-0.76,6.34,"Syndergaard, Noah",672820,592789,,pitchout,,,,,12.0,"Lenyn Sosa grounds into a double play, shortstop Andrew Velazquez to second baseman Luis Rengifo to first baseman Jared Walsh.   Josh Harrison out at 2nd.    Lenyn Sosa out at 1st.",R,R,R,LAA,CWS,B,,,0,0,2022,-0.76,1.37,2.23,3.73,,,543281.0,1,7,Top,,,,,545358,,,8.815189848251926,-126.68995359505328,-2.930989000916276,-10.021884344120831,25.966886320981523,-16.99051522066564,3.37,1.53,,,,87.7,2069.0,6.7,663440,592789,545358,665120,650859,642180,623205,669016,545361,621493,53.82,,,,,,,,51,1,Pitch Out,2,3,3,2,3,2,3,2,Standard,Standard,210.0,0.0,
1172,PO,2022-06-20,90.8,-1.01,6.3,"Syndergaard, Noah",664728,592789,,pitchout,,,,,11.0,"Kyle Isbel grounds out softly, shortstop Andrew Velazquez to first baseman Jared Walsh.",R,L,R,LAA,KC,B,,,0,2,2022,-0.65,1.33,-3.07,4.23,521692.0,,641531.0,1,4,Top,,,,,435559,,,-3.779007089829289,-132.18857808670234,-2.1144473051385213,-6.837412846652772,28.75195692504407,-16.378542492028043,3.33,1.62,,,,91.2,2045.0,6.5,663443,592789,435559,665120,650859,622110,623205,669016,545361,621493,53.95,,,,,,,,29,3,Pitch Out,1,2,2,1,2,1,2,1,Standard,Standard,213.0,0.076,
214,PO,2022-08-22,87.1,-2.17,5.86,"Tepera, Ryan",668227,572193,,pitchout,,,,,12.0,"Randy Arozarena grounds into a force out, third baseman Phil Gosselin to second baseman Luis Rengifo.   Jose Siri out at 2nd.    Randy Arozarena to 1st.",R,R,R,TB,LAA,B,,,0,1,2022,-0.82,1.32,1.87,3.44,,,642350.0,1,7,Bot,,,,,435559,,,11.342741177033387,-126.32204194847677,-2.2994972646692773,-11.180526615184528,26.667552497391995,-17.76573713295991,3.32,1.61,,,,86.5,2124.0,6.2,661859,572193,435559,665120,650859,594838,664058,666176,642423,621493,54.3,,,,,,,,59,2,Pitch Out,2,1,2,1,1,2,2,1,Standard,Standard,221.0,0.0,
950,PO,2022-05-28,87.3,-1.8,5.65,"Lorenzen, Michael",669289,547179,,pitchout,,,,,12.0,"Santiago Espinal grounds into a double play, shortstop Andrew Velazquez to second baseman Luis Rengifo to first baseman Jared Walsh.   Bradley Zimmer out at 2nd.    Santiago Espinal out at 1st.",R,R,R,LAA,TOR,B,,,0,0,2022,-0.76,1.27,2.69,3.09,,,605548.0,1,5,Top,,,,,545358,,,12.233186187674466,-126.54249372349317,-2.5580381289781613,-10.714911255096125,26.58420383246044,-18.20348466687476,3.5,1.66,,,,86.3,2295.0,5.9,663400,547179,545358,665120,650859,622110,623205,669016,545361,501571,54.59,,,,,,,,37,1,Pitch Out,0,1,1,0,1,0,1,0,Standard,Standard,234.0,0.0,
1445,PO,2022-04-25,85.6,-1.51,5.77,"Lorenzen, Michael",642708,547179,,pitchout,,,,,12.0,Amed Rosario flies out to left fielder Jo Adell.,R,R,R,LAA,CLE,B,,,0,0,2022,-0.76,1.28,3.22,2.99,,,680700.0,1,3,Top,,,,,545358,,,12.558708396209688,-123.9454627592197,-2.757767766159528,-10.426604174598452,25.94485076774808,-18.591701771047852,3.36,1.62,,,,84.5,2233.0,6.0,661034,547179,545358,665120,622110,543685,642180,666176,545361,621493,54.53,,,,,,,,20,1,Pitch Out,0,0,0,0,0,0,0,0,Standard,Standard,258.0,0.0,
1195,PO,2022-07-31,89.9,-1.38,5.77,"Kelly, Merrill",621020,518876,,pitchout,,,,,12.0,Dansby Swanson strikes out swinging.,R,R,R,ATL,AZ,B,,,0,1,2022,-0.6,1.4,1.11,3.9,,,660670.0,2,3,Bot,,,,,608348,,,7.387039669958712,-130.78030245005746,-1.6311837847317434,-8.463001166844947,27.921337453132303,-15.953923072706546,3.51,1.62,,,,89.3,2462.0,6.0,661498,518876,608348,572233,671083,668942,672695,664983,662139,656669,54.53,,,,,,,,20,2,Pitch Out,0,0,0,0,0,0,0,0,Standard,Standard,223.0,0.0,
341,PO,2022-08-16,88.2,-1.45,5.11,"Chavez, Jesse",677594,445926,,pitchout,,,,,12.0,Julio Rodriguez homers (19) on a line drive to right center field.    Sam Haggerty scores.,R,R,R,LAA,SEA,B,,,0,0,2022,-1.04,1.16,3.22,2.82,,,664059.0,2,9,Top,,,,,545358,,,13.401883319599152,-127.63746651486782,-1.7628655915604787,-14.305153234175068,28.07778686259007,-19.41487380763811,3.26,1.45,,,,87.2,2101.0,6.1,663369,445926,545358,665120,650859,670351,664058,621453,642423,621493,54.36,,,,,,,,70,1,Pitch Out,2,6,6,2,6,2,6,2,Standard,Standard,232.0,0.0,
