,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
934,CS,2022-04-27,67.8,-1.64,5.89,"McHugh, Collin",663611,543521,double,hit_into_play,,,,,8.0,Nick Madrigal doubles (3) on a line drive to left fielder Marcell Ozuna.,R,R,R,ATL,CHC,X,7.0,line_drive,1,2,2022,0.97,-1.32,-0.08,1.62,,,,1,6,Top,56.36,113.49,,,518595,,,1.3793171412096012,-98.62861178829613,2.2057131451788936,5.979745080004727,18.30745188115789,-41.33226956536104,2.83,1.36,221.0,93.3,12.0,67.6,2635.0,6.5,661552,543521,518595,621566,645277,663586,621020,542303,594807,641513,53.98,0.871,0.837,1.25,1.0,1.0,1.0,4.0,50,4,Slow Curve,1,3,3,1,3,1,3,1,Standard,Standard,35.0,-0.032,0.465
982,CS,2022-04-23,65.5,-1.73,5.88,"McHugh, Collin",621563,543521,,ball,,,,,13.0,Joey Wendle singles on a line drive to right fielder Eddie Rosario.,R,L,R,ATL,MIA,B,,,0,2,2022,1.13,-0.96,-0.5,0.22,,,,0,6,Top,,,,,518595,,,0.4771581916213803,-95.32987581133254,-0.3830457741761492,6.696493569613649,17.05903399798168,-38.13918162299348,3.39,1.59,,,,65.5,2404.0,6.6,661568,543521,518595,621566,645277,663586,621020,542303,594807,592696,53.86,,,,,,,,48,4,Slow Curve,5,3,3,5,3,5,3,5,Standard,Standard,35.0,0.0,0.017
983,CS,2022-04-23,65.4,-1.74,5.94,"McHugh, Collin",621563,543521,,foul,,,,,2.0,Joey Wendle singles on a line drive to right fielder Eddie Rosario.,R,L,R,ATL,MIA,S,,,0,2,2022,0.97,-1.26,0.25,3.23,,,,0,6,Top,,,,,518595,,,2.1069251091479115,-94.87826276329366,5.468087989577385,5.4043850724240325,16.780528909675958,-40.931935904779166,3.27,1.54,137.0,54.9,49.0,65.2,2454.0,6.6,661568,543521,518595,621566,645277,663586,621020,542303,594807,592696,53.89,,,,,,,,48,3,Slow Curve,5,3,3,5,3,5,3,5,Standard,Standard,36.0,0.0,0.0
1014,CS,2022-04-16,66.6,-1.95,5.81,"McHugh, Collin",572228,543521,,ball,,,,,14.0,Luke Voit called out on strikes.,R,R,R,SD,ATL,B,,,1,2,2022,1.23,-1.23,0.05,0.3,,,,1,7,Bot,,,,,444489,,,1.7317901518301486,-96.68344317275644,0.3222884237313967,7.054745320986359,21.858115354897706,-40.02114220823448,3.38,1.67,,,,65.7,2598.0,6.7,662235,543521,444489,621566,645277,663586,621020,542303,594807,592696,53.8,,,,,,,,54,4,Slow Curve,1,5,1,5,5,1,1,5,Infield shift,Standard,32.0,0.0,0.023
1049,CS,2022-04-10,68.7,-1.91,5.84,"McHugh, Collin",458015,543521,,ball,,,,,11.0,Joey Votto strikes out swinging.,R,L,R,ATL,CIN,B,,,1,1,2022,1.26,-0.9,-0.98,5.42,,,,1,7,Top,,,,,518595,,,-0.2929799531670246,-99.49175696279758,8.532535805583542,8.412393592034814,16.72400745273938,-39.79893454711667,3.61,1.74,,,,68.2,2469.0,6.3,661573,543521,518595,621566,645277,663586,621020,542303,594807,592696,54.24,,,,,,,,55,3,Slow Curve,3,6,6,3,6,3,6,3,Infield shift,Standard,44.0,0.0,0.033
1059,CS,2022-04-10,67.9,-1.94,5.89,"McHugh, Collin",571980,543521,strikeout,swinging_strike_blocked,,,,,14.0,Tyler Naquin strikes out swinging.,R,L,R,ATL,CIN,S,2.0,,2,2,2022,1.04,-1.16,0.19,0.8,571657.0,,,2,6,Top,,,,,518595,,,2.3382073353056416,-98.86473524604516,0.3091010136554033,6.353832425752036,17.05995344858595,-40.05080888947761,3.47,1.59,,,,68.1,2637.0,6.6,661573,543521,518595,621566,645277,663586,621020,542303,594807,592696,53.93,,,0.0,1.0,0.0,0.0,,50,5,Slow Curve,3,6,6,3,6,3,6,3,Standard,Standard,34.0,0.019,-0.278
1070,CS,2022-04-07,69.0,-1.72,5.81,"McHugh, Collin",606157,543521,strikeout,swinging_strike_blocked,,,,,14.0,Aristides Aquino strikes out swinging.,R,R,R,ATL,CIN,S,2.0,,1,2,2022,0.9,-1.11,0.29,0.96,,,663697.0,2,6,Top,,,,,518595,,,2.349215432500741,-100.45448037083555,0.4158735206191482,5.689792972183281,17.378563528408904,-39.96648876026846,3.55,1.63,,,,69.1,2643.0,6.5,661577,543521,518595,621566,645277,663586,621020,542303,594807,592696,53.98,,,0.0,1.0,0.0,0.0,,49,7,Slow Curve,1,6,6,1,6,1,6,1,Infield shift,Standard,37.0,0.004,-0.158
12,CS,2022-09-19,74.5,-1.2,5.54,"Gray, Sonny",664702,543243,,ball,,,,,11.0,Myles Straw walks.,R,R,R,CLE,MIN,B,,,1,0,2022,1.16,-1.22,-0.14,4.29,,,,2,2,Bot,,,,,506702,,,0.1412899690939418,-108.15590733760988,6.828002591061768,9.065666599594824,19.167599891807765,-43.15061337520454,3.33,1.55,,,,74.5,2774.0,6.4,663044,543243,506702,669304,624503,570482,621043,595909,665482,670242,54.08,,,,,,,,16,2,Slow Curve,3,0,3,0,0,3,3,0,Standard,Standard,34.0,0.0,0.023
21,CS,2022-09-19,73.7,-1.31,5.58,"Gray, Sonny",665926,543243,,foul,,,,,3.0,"Andres Gimenez grounds into a double play, second baseman Nick Gordon to shortstop Carlos Correa to first baseman Jose Miranda.   Oscar Gonzalez out at 2nd.    Andres Gimenez out at 1st.",R,L,R,CLE,MIN,S,,,0,1,2022,0.92,-0.97,0.56,2.92,,,660757.0,1,1,Bot,,,,,506702,,,2.1970421914942917,-107.19095178757878,3.5914479271261794,6.710308768735355,18.676089397988363,-40.51686973403508,3.12,1.44,4.0,60.1,-36.0,73.6,2450.0,6.3,663044,543243,506702,669304,624503,570482,621043,595909,665482,670242,54.23,,,,,,,,9,2,Slow Curve,3,0,3,0,0,3,3,0,Standard,Standard,31.0,0.0,-0.068
1043,CS,2022-07-02,71.1,-1.07,5.47,"Gray, Sonny",656775,543243,,ball,,,,,11.0,Cedric Mullins walks.   Tyler Nevin to 2nd.,R,L,R,MIN,BAL,B,,,1,1,2022,1.17,-1.24,-1.75,2.83,,,663527.0,2,4,Top,,,,,596142,,,-3.2862204053298285,-103.23057490683262,4.640833619460203,8.92143631089723,21.08392623357467,-42.10563675731085,3.3,1.38,,,,70.1,2404.0,6.2,661683,543243,596142,650333,593871,570482,621043,666135,624503,596146,54.33,,,,,,,,32,3,Slow Curve,0,3,3,0,3,0,3,0,Infield shift,Standard,31.0,0.0,0.029
